,Actual,Gru_predicted,cNN_biLSTM_1fea-Copy1_predicted,cNN_1Fea_predicted,cNN_LSTM_1fea_predicted,vANILLA_LSTM_predicted,biLSTM_predicted,gRU_biLSTM_1fea_predicted,sEQ2SEQ_predicted,sTACKED_LSTM_predicted
343,13.499999,36.226884910626666,20.898803617120794,20.236448636701304,30.33472353421316,21.25369232462376,14.81321615598375,20.736801727853848,24.726876656547777,31.26579097003769
344,16.25,34.80579298770142,21.23116786045104,20.60163476618029,29.07466502196502,18.959665526380952,12.772332786118474,20.14209901226189,23.06841576712492,31.177564037895397
345,10.75,33.54530709759073,21.829126351605417,21.51646367746728,27.81945257114557,17.845742729532176,12.530283756889864,19.98060153892716,22.85720672799141,31.05012105982373
346,11.0,33.49037895393307,22.97367728385777,23.822838577730494,27.465403945449708,18.83514999495584,15.315807936755414,20.548882030870256,24.03165760246522,30.897165641020937
347,14.75,35.114429505580674,24.40116153232389,27.248851765914324,28.34709364711061,21.520952062144044,19.873359043260542,21.438858827737374,26.9121220319708,30.690243220191316
348,20.0,40.03435210066308,26.244733897667764,33.03487485899282,31.635918541412547,28.47982840687106,29.06772425873785,22.67436787512496,37.47928547190404,30.43579931582857
349,33.75,48.50820959857663,30.55895200711685,42.089272907361725,37.68721489035832,38.37785751625595,40.55153801003329,24.32786347753515,52.81686812733293,30.16647789282537
350,49.5,57.85630978475197,36.72943358676413,50.944799013179015,44.75797435732824,47.40465759329402,48.087295596907474,26.247945651476105,62.13930363087759,29.94966525124499
351,57.5,67.30371571118062,43.03486018507479,58.64611141172263,52.19831112374698,56.89941992167796,56.14071599548777,29.2592812531526,72.52848161633207,29.92075946696993
352,68.25,72.71710749562075,46.87494382640755,61.08270082632501,57.35689765859296,59.45595027376028,54.81164421251502,32.09866788337904,67.71148921925585,30.06067527536524
353,61.5,69.8891353393802,43.97866458174748,53.86741794069903,56.35720030815228,51.1089047754432,41.59886689839229,33.508501242697434,46.68313370690683,30.342106349220906
354,39.0,59.20478415583701,34.92338976677642,39.05419307207645,49.16537001201427,36.46145482726047,25.3403363078588,33.10850491117694,28.63722085163752,30.711797371534438
355,15.0,49.2027261388336,28.25151875051588,28.486352797674183,42.21737621174464,29.7216399020516,19.6393467355118,31.577442978071662,25.27319212744298,31.07778139530618
356,17.0,44.09373010996267,25.864890358318736,25.903539624164274,38.77429175417519,28.587670698937057,20.681763529810983,29.918960077771764,27.927637866045472,31.40995854618157
357,22.5,41.83206847217,24.78292001797555,25.76004337977017,36.77226675348735,26.790552289589773,20.645308014710604,28.506870603556592,27.149250713060702,31.69086502746774
