,Actual,Gru_predicted,cNN_1Fea_predicted,gRU_biLSTM_1fea_predicted,cNN_biLSTM_1fea-Copy1_predicted,vANILLA_LSTM_predicted,cNN_LSTM_1fea_predicted,biLSTM_predicted,sEQ2SEQ_predicted,sTACKED_LSTM_predicted
684,68.29,78.03257084670565,128.80036523735555,75.21510679205636,104.19051165199372,72.99969114307153,107.85891817091596,76.48321706617942,79.85894378151632,91.75757283443748
685,68.86,90.67279348198288,153.83338416952623,78.6447591875264,112.48503821268916,100.27121437892896,119.23528468561474,112.31689856786396,122.71182217435336,93.01383704177252
686,129.34,116.96318672460268,195.9079908751032,86.67230222410312,129.23774586431003,138.67822665443896,144.11539250158583,160.4829465251101,176.89024075004775,94.2810085709803
687,187.69,136.33938094980812,208.80129466932524,93.59352692766916,142.29373564242096,142.39276578062623,162.51304945760532,158.745568098339,166.3713208608206,95.23506396880433
688,153.02,137.3060498011366,193.86777035852103,97.71388697080204,142.8809131365704,128.57464923772667,164.8281881279472,138.38033160132431,138.8975204467903,96.39526327980931
689,121.43,123.77628440471302,167.1903683490435,98.92176856321797,135.39410952226277,110.8767148606993,157.3225947146211,116.6343652417792,113.89521933434732,97.94796972074724
690,98.66,106.4013527821057,143.1574554680407,97.71041510468682,126.30480873472516,96.21771383476192,146.71729539247548,100.10348450370964,97.66612273546995,99.7321363861528
691,85.26,92.30632884026878,127.98043860706912,94.85568436697233,118.6348753583738,84.52553415963705,135.9715568508618,87.29923482037889,86.2982719782169,101.65765866487226
692,74.23,83.76158950786962,122.06940028697552,91.54073020936492,113.08990285309946,77.05235724731388,126.66555499502456,79.99742355723265,80.15789678524976,103.7324190340514
693,68.89,80.77877969207152,123.1850464662872,88.69678013746315,110.29715163086266,75.49246866273843,120.60966684443235,80.05090221597757,81.22313385268235,105.7400367907188
694,72.01,80.11645045220463,125.48453938804111,86.15099333150897,109.61212115483028,73.4022488038831,116.34316060877504,78.7104489805264,79.22827855664885,107.40031147837716
695,67.97,77.57263799071511,122.26857811685665,83.56108551453676,109.0567268813838,67.01385124401455,110.78860694507968,72.13646304097882,70.38157627650217,108.66713284083082
696,55.41,75.72743055474714,123.4949514940322,81.89999873802311,109.64034310514036,68.4427178597006,107.40252423424889,76.1205113621283,74.26612508698874,109.54596198937264
697,64.6,77.66498515916639,131.16107028787073,81.82205310862922,111.94904466749176,75.532417474133,108.76415138278908,87.38210513539975,84.86129192433452,110.01386672678656
698,77.98,82.92668766107758,137.42394424192506,82.67373315819272,114.5958583071853,83.07585869832901,113.00568402355744,98.25593765580994,94.01247537271573,109.81509866651132
699,86.79,89.68577025677712,140.29461129212987,83.09859718627683,116.7488474193042,90.5994596232442,118.57892318128069,105.74644409728336,102.576980500831,108.64405908684182
700,95.54,95.20759450449776,138.4159443052531,83.78777006050679,116.91391751726358,94.75549942351412,123.62288901534284,108.44356254386544,105.92082714083082,107.47788458994752
701,97.26,97.78098488117496,132.49262779769617,84.07106241493933,116.8946955975698,95.44013503065356,126.70095908897216,106.09007688877014,104.92519875390168,106.31989058445777
702,95.07,97.34041550165112,125.78279205826632,83.38516769755638,117.969871440534,93.60731008713948,127.5900250273044,98.8989108695666,101.41321246907664,105.24788859335
703,90.93,96.62341554600404,123.08156101491258,85.45098018861451,119.6692679500187,94.6486091592325,128.47698996511195,101.46414310590868,103.55007900979348,105.94788683553152
704,95.48,96.35494940094767,123.47741335490076,87.29398231906723,121.9680605382644,94.5448480446685,129.3770973317334,102.3652711713666,103.33860064137966,106.4836345189654
705,94.33,96.34551724965608,126.21178358383509,89.04745351581448,125.02535901805408,94.05904010065606,129.71173754296032,103.03247294436515,102.65821173742836,106.94324700962773
706,93.52,95.50302348962066,127.89328433707776,90.65956164889135,129.55635290841255,91.57306475644668,128.88714698952342,101.88069998652824,99.01279701857398,107.39654904835956
707,88.68,93.51020959126004,129.36151118599722,92.39154601757784,133.16064165955004,88.40437599706723,126.9141733904436,101.70849244707016,94.9915788689934,107.8794066512097
708,84.36,91.25041216878073,132.17722440687595,94.79287041156992,131.29796313765883,86.3121892441037,124.80105858615458,106.37888250699082,92.99782622571752,108.30937417347609
709,82.97,90.2230825150698,136.82459286530292,94.7016184455198,125.91655575833686,86.78948888102688,123.82103869603104,109.99533769024455,94.64375152681376,107.0212969440122
710,85.97,92.17085155821005,144.49917526409186,91.63168416115622,122.32321903121094,91.7658352797632,125.5168888358358,110.94902802060152,102.3731834499382,104.14958684390152
