,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Actual,Gru_predicted,cNN_LSTM_1fea_predicted,gRU_biLSTM_1fea_predicted,sEQ2SEQ_predicted,cNN_biLSTM_1fea-Copy1_predicted,vANILLA_LSTM_predicted,sTACKED_LSTM_predicted,biLSTM_predicted,CNN_1D_predicted,GRU_predicted,vLSTM_predicted,transformer_predicted
1041,1041,1041,1041,1041,1041,1041,1041,1041,1041,1041,1041,107.7,97.95291245,98.34667531,88.67000142,86.92763428662083,83.23875564550681,94.65475741,90.00514506,89.87871783168309,103.828076313087,88.6943676427129,96.4407915488525,104.77795688807964
1042,1042,1042,1042,1042,1042,1042,1042,1042,1042,1042,1042,92.53,88.10264322,98.34566222,88.57001128,86.92845369476836,83.23482248639858,84.14517004,90.69938489,87.46186605132684,84.85368246851826,87.07927693807194,85.81614438029756,92.32607799768446
1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,69.84,76.5083159,98.34355411,88.43732676,86.92856543224303,83.23334755173299,73.7428581,91.60892793,86.44017582880981,66.6937803226117,84.17064618421762,75.30486605353832,63.95136335492133
1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,56.77,70.2271502,98.34124487,88.31458686,86.92853563558313,83.237690414915,67.99290725,92.35114038,87.1309815921822,59.1261065792771,80.96644746237793,69.5138479540461,44.602228179574006
1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,57.14,70.29477372,98.3396284,88.20511394,86.93134397077972,83.23493422387325,64.67591327,92.45603952,91.54048500407434,59.29297532394265,78.10914890438497,66.19824696996486,38.394370183348656
1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,57.14,72.84110688,98.33880899,88.12835774,86.93251348968121,83.2341446123856,62.72245169,92.43810193,98.32202601981687,64.44751442024487,75.87080146438944,64.26646246546177,37.99937772750855
1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,57.14,74.31174338,98.33839184,88.07461201,86.93357127110805,83.23497146969814,61.54609818,91.90939,114.56338082738574,70.0849754328867,74.27243413512343,63.12015516203272,37.19785075634718
1048,1048,1048,1048,1048,1048,1048,1048,1048,1048,1048,1048,57.14,72.63990494,98.33791509,88.03105675,86.93142591159447,83.23047962321658,58.47055026,91.01972133,122.9914331256452,71.9555054537781,72.89841330749094,60.04853667846622,36.432386703789234
1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,50.33,68.50591634,98.33717762,87.97519546,86.92989138360906,83.23707213422185,54.35839517,89.199205,128.50259354609005,68.17585873741076,71.45281345358768,55.92425434440539,36.05716423690319
1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,43.54,74.25352815,98.33837694,88.02471006,86.93036068100267,83.24116917495958,67.20265513,86.80017907,118.50816063297884,81.17727372957692,72.13111206896251,68.96725802464206,36.8976831510663
1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,87.63,87.41647084,98.34059679,88.1220632,86.93152275073919,83.24289738123441,77.85417889,83.81089621,107.87350178669386,94.6480680561532,74.52198116187652,79.78021263466839,38.50674325972796
1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,97.75,93.30067054,98.3422952,88.17819265,86.93154509823411,83.24123621744438,77.55886419,80.74873817,104.39834713795516,91.96767226805076,76.67198150523647,79.47254722275925,37.60428529232741
1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,79.55,89.35697832,98.34313695,88.20562048,86.93205909061759,83.24371678938196,76.7964943,78.11094415,90.7533764358702,83.53912087573781,78.13150384848305,78.67666353821136,35.43041966855526
1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,77.57,89.56722355,98.34414259,88.29650774,86.93293064291997,83.2444393583848,87.07664738,76.28804409,79.47913228459954,89.01608217977,80.38098779012024,89.06254262173594,32.22809248417616
1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,108.37,89.38069646,98.34382973,88.32656512,86.9318877598231,83.23935902787001,82.42705738,74.87590589,78.06867014189612,83.28345808453801,81.52470278413705,84.33688919902504,32.38724848628044
1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,78.25,88.27900965,98.34459699,88.34746748,86.93106090251057,83.24034976681203,82.49138092,73.91469544,83.13564430388543,81.47125502542202,82.12065088068334,84.36703596968981,32.88436798751354
1057,1057,1057,1057,1057,1057,1057,1057,1057,1057,1057,1057,85.69,81.29065002,98.34297307,88.29147955,86.93013720605333,83.23691570175731,72.45404082,73.17149225,90.84347408627552,72.46721094359155,81.0453415686568,74.19584182082268,34.28457495570183
1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,56.51,77.91818956,98.3422952,88.27089006,86.92980199362934,83.23570893703092,74.45175043,72.87133559,95.21272221062816,75.78779541904288,80.12748525676399,76.20258727249639,36.64162865281105
1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,78.44,82.17328668,98.34199723,88.2794566,86.93153019990416,83.23900146795107,78.44583626,72.49876561,105.4617005401925,85.55381458644273,79.96825935536556,80.24930890080937,39.4557953029871
1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,86.91,85.69936382,98.34230265,88.27664082,86.92960086617494,83.23745949080069,75.96433318,72.45581372,110.91980800766612,88.76695230625566,79.69658085946371,77.7387093792087,42.57087014615535
1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,73.33,87.89570542,98.34289858,88.28896174,86.93133652161474,83.23799583067908,79.72440349,71.95587046,112.88331850580924,94.78352367210778,80.00628734257674,81.54116543873778,51.04451921582221
1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,88.18,98.52326521,98.34470873,88.4226966,86.93233470972176,83.23891207797134,97.55023293,72.00303858,105.37567758302995,114.68369229094064,82.72936684600144,99.5863131981628,62.533226758241646
1063,1063,1063,1063,1063,1063,1063,1063,1063,1063,1063,1063,133.65,106.7724258,98.34504394,88.52001994,86.93243154886646,83.23936647703498,99.71077385,71.8801348,101.6940320811093,117.86556586534216,85.54205235494294,101.75977841120252,70.0089116692543
1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,111.06,114.1875034,98.34771819,88.68767084,86.93373515273757,83.24337412779299,113.1290888,72.23633897,93.19595763205945,127.25536495554304,89.44832742676627,115.29285520615738,75.69534407556057
1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,145.91,112.2868937,98.34708501,88.77478138,86.93259543049598,83.24322514449344,108.7714167,73.21751319,90.07267174020758,119.76914038207464,91.93112666467012,110.84869827878896,72.39568515121937
1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,111.53,100.3820107,98.34793422,88.76274353,86.93002546857866,83.24087120836047,99.06901339,74.8226965,82.44352003831199,100.27553973855991,92.13098776102194,100.9802754404406,76.27399487793446
1067,1067,1067,1067,1067,1067,1067,1067,1067,1067,1067,1067,90.15,88.46905275,98.34698072,88.70197324,86.92801419403469,83.24259941463531,92.40469988,76.70509304,83.11183677261668,87.53239474533575,90.80751696692816,94.19629854775036,79.16891521215439
1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,86.36,84.1339367,98.34572926,88.63115403,86.92758959163096,83.24166826901309,88.66740167,78.52481976,87.39207482465073,82.55606202279515,88.9128739990039,90.39816300390837,79.61526001989841
1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,86.36,85.4051665,98.34482046,88.55969419,86.9280067448697,83.2411319291347,85.26410166,80.20700509,87.38763512232401,83.49503671739974,86.9002139103379,86.95689460665325,83.78069560229778
1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,82.7,82.39341695,98.34334553,88.44102154,86.92792480405495,83.23766806742006,74.73446859,81.64851536,94.35771450365225,77.50136408468909,84.00426163527561,76.32271250692685,85.44947670400141
1071,1071,1071,1071,1071,1071,1071,1071,1071,1071,1071,1071,57.92,73.66957321,98.34117037,88.29250009,86.9286101272329,83.2353215804521,64.59237833,82.757845,100.78417617240254,70.26701067744685,80.3748198815187,66.08498241647885,88.7494614869356
1072,1072,1072,1072,1072,1072,1072,1072,1072,1072,1072,1072,45.73,65.43583238,98.33865256,88.14851518,86.9294816795353,83.23669967597296,57.45467039,83.56076815,106.83300242260812,65.88019742207679,76.62797183854819,58.903294605628986,86.49635668098925
1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,41.74,73.36291344,98.33933043,88.15573342,86.93067354593173,83.23228232114118,71.71232746,84.06996327,107.68958190339434,83.4850622854946,75.79029088931041,73.38842682888931,84.53935365378855
1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,94.97,86.72271521,98.34073832,88.18051679,86.9327518629605,83.2281331362486,75.90114191,83.52799182,102.36671402609092,95.7606529897282,76.41225146995886,77.67183077603887,78.44910098612309
1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,84.308846,94.22152142,98.34288368,88.2228355,86.9351579432483,83.22601757339494,80.23785953,82.71376829,98.18645866638764,101.51145304750575,77.88676153314057,82.07635814572592,78.97326675057411
1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,90.06,96.6017829,98.34423198,88.30594583,86.93548570650732,83.22354445062234,87.36122038,82.25392389,98.79222476237454,101.84944401003916,80.15944962368332,89.2888780504185,81.55953234434128
1077,1077,1077,1077,1077,1077,1077,1077,1077,1077,1077,1077,103.57,89.77678346,98.34392656,88.31367062,86.93162703904888,83.22349975563247,79.2831373,81.8024151,89.53341178914161,85.06611030618745,80.93928780686923,81.10990348151856,82.11192190647125
1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,68.61,80.95883442,98.34360625,88.28134869,86.93243154886646,83.22269524581488,75.71319203,80.81073012,84.34699771589979,71.6132461197125,80.7132056497959,77.47718409517147,85.02547542750834
1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,71.11,79.28122287,98.34269,88.27950875,86.93235705721669,83.2265315657784,77.71552013,80.40026623,87.08940780244163,71.6765267761981,80.53037334458313,79.49921523337943,85.92834071815012
1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,82.68,78.92041511,98.3418259,88.2308955,86.93324350784903,83.23277396602971,71.2806707,79.85898011,84.13034620168824,67.80035378004968,79.50652286422256,72.99236962535473,85.57551732659338
1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,60.9,80.70852757,98.34173651,88.22744653,86.93215592976229,83.23304958513388,73.83031874,79.78909204,87.98808996368183,71.31690343856947,78.91537947908688,75.57378835839842,88.52553738653658
1082,1082,1082,1082,1082,1082,1082,1082,1082,1082,1082,1082,78.67,77.90428942,98.34055954,88.17025929,86.93113539416035,83.23637936187892,65.97777403,79.22151781,98.18297245717808,67.89501031942136,77.5161283296749,67.6407032762475,83.87243960797787
1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,51.95,69.69948115,98.33913675,88.07043303,86.93110559750043,83.23814481397864,57.04495887,78.40169251,103.54701931847822,61.92386396160328,75.1543556751638,58.61256487029665,82.45052601397038
1084,1084,1084,1084,1084,1084,1084,1084,1084,1084,1084,1084,38.8,65.29706189,98.33762457,88.00823995,86.93040537599254,83.23998475772812,56.61018835,77.66494775,109.83106785118476,64.14414717652787,73.15746546875559,58.19657742586422,85.44407041370867
1085,1085,1085,1085,1085,1085,1085,1085,1085,1085,1085,1085,52.15,72.74037927,98.33806407,88.03318721,86.93018935020818,83.23897167129117,66.19804584,76.53030584,113.70161672777505,79.7327986995853,73.04940043242402,67.93961591930785,95.356555506587
1086,1086,1086,1086,1086,1086,1086,1086,1086,1086,1086,1086,80.88,90.40115757,98.34098414,88.1438818,86.93454711172014,83.23938882452991,82.3279239,74.65265441,106.3120301715624,103.24217714009563,75.56992969093996,84.31235164958849,108.72096435725688
1087,1087,1087,1087,1087,1087,1087,1087,1087,1087,1087,1087,112.35,100.2974924,98.34269745,88.24297059,86.9323868538766,83.24058814009132,84.39435206,73.37910792,99.66654815413766,106.05533194643073,78.32761801485107,86.38837433555486,118.967261955142
1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,92.02,99.92376037,98.34498435,88.3200322,86.93444282341045,83.24026782599728,88.74307028,71.73147182,95.45084221830548,102.71170720370336,81.04376234568153,90.75201323867928,126.1996860206127
1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,100.94,94.30721661,98.34523017,88.3753646,86.93428639094591,83.2395601553244,88.55269942,71.0732934,85.84135235458211,96.49455217249658,82.97288749828756,90.52287692396509,128.94907346367836
1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,93.15,85.87362959,98.34479067,88.36641815,86.93187286149313,83.24116172579461,81.16534017,71.02887403,83.16459175898879,80.75074199211855,83.18677537229239,83.0143718980484,134.40892305970192
1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,71.89,74.43493767,98.34282409,88.27153069,86.92929545041085,83.23850237389756,68.25712168,71.12002201,79.52362614701137,60.65530841172512,81.19369168918779,69.93046485291914,138.2278968989849
1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,46.34,65.7711044,98.34014984,88.15083187,86.92936249289565,83.23505341051289,60.71243606,71.14943131,86.46549554056902,51.83983249214026,78.1822401111462,62.29211715685858,143.45089173316956
1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,45.39,60.96020273,98.33742344,88.00709278,86.93173877652353,83.23734775332602,52.28030534,71.10709026,92.67741380879646,46.59747518991588,74.57504156401271,53.77609766937743,146.7331468462944
1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,33.4,64.73910453,98.33670087,87.93867965,86.93512069742341,83.2313064805291,55.96763828,71.2980943,91.15572818381094,57.55926411619673,72.29871828096086,57.5467122732093,147.9725500047207
1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,58.02,74.01752371,98.33709568,87.93627357,86.9372288111121,83.23165659128306,61.38097999,71.46854609,85.02694259673468,72.49108551734508,71.67146134401327,63.067161802381335,138.63046556711197
1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,68.05,81.34401584,98.33843653,87.97176139,86.93518773990822,83.2348150372336,65.18310456,71.50021994,89.27298898152107,81.937006616488,72.16121414463741,66.94171832972961,137.9773264527321
1097,1097,1097,1097,1097,1097,1097,1097,1097,1097,1097,1097,70.44,85.59929174,98.34000085,88.02548477,86.9370649294826,83.23933668037508,71.62388353,70.54402278,91.1014833644433,89.8347454108197,73.70011478988641,73.47428590442233,128.5733140707016
1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,82.94,88.41670002,98.34155028,88.10580912,86.93693829367797,83.23586536949546,77.52967091,69.88077892,95.73718812004842,92.91894553403355,75.88250410256941,79.45157037418203,126.73132431507108
1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,89.55,82.38614657,98.34157263,88.09680308,86.934256594286,83.23704978672691,68.14958553,69.16075008,94.60153312253748,78.11953304036388,76.3925558777578,69.94622728601198,117.25047595798968
1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,52.72,68.87958135,98.33987422,88.00311493,86.93431618760582,83.23816716147357,56.64644344,68.23171258,95.2454240448803,57.35203579568198,74.87110862605157,58.28217578062302,112.5047676861286
