,Actual,Gru_predicted,cNN_1Fea_predicted,gRU_biLSTM_1fea_predicted,cNN_biLSTM_1fea-Copy1_predicted,biLSTM_predicted,cNN_LSTM_1fea_predicted,sEQ2SEQ_predicted,vANILLA_LSTM_predicted,sTACKED_LSTM_predicted
732,79.18,55.69075535639934,75.35092452590243,60.88471114792217,52.20797408125512,68.1956851608628,71.46177086905226,67.42410406260029,74.70447669528706,91.0073240620449
733,77.88,57.05979170608381,78.49479593655168,60.88784383838374,55.16410340878473,67.48783772204465,72.26319407788762,65.3021084066071,72.25890842235492,90.43252879243562
734,68.35,57.58423333529375,79.56243034398211,60.8941204677466,56.10601400548283,70.18639465268289,72.20178322124512,64.50240058482879,71.33830237048345,89.82097362182667
735,69.5,59.40416901530939,82.50570832913348,60.903282321897215,57.925567238548034,82.7734830608494,73.61227007129182,74.40277104516063,81.35417180984363,88.80550947781008
736,95.8,64.39826252991601,91.19694463459751,60.90655561785526,63.93600227546928,100.66395208211917,79.0667059813732,94.67394421172648,101.8989070303605,86.96231764867669
737,133.58,68.96328993568486,98.1848972041454,60.90915963165007,69.05150582417626,101.27163778946498,85.42423412268454,97.60673865106033,104.33860361775965,85.50255138422376
738,109.15,71.48860402200046,99.92721302588431,60.909103389451474,69.41487542083884,96.26478854421772,88.84319175086665,94.63544080257046,100.65234369232978,84.52855461322899
739,96.600006,71.20085768556454,97.50354546508387,60.90798979391936,66.6717184267172,86.69512221160626,89.07376226821404,85.5792544946634,90.82972244733138,84.23482973108275
740,77.5,67.36519035957527,90.12739799241494,60.90440716586905,61.30820365487951,69.97456403590634,85.65044024542118,67.56971511475474,72.42378242752709,84.3059929849611
741,45.82,62.04922836664702,79.57820065646729,60.8999077899817,54.54766079111815,60.66685136745656,79.93979862387424,55.85835710820322,61.17207503740765,84.64615142626481
742,43.92,56.2723896773574,68.5605676726675,60.90239931937932,47.6603255148512,55.10057784547517,73.81516942693199,44.91687324918695,50.7669364689333,85.21661604658252
743,34.07,53.27709890694825,62.12561652077455,60.897078807392525,44.33232839445176,60.56810693938875,69.9921678440656,50.98480749783863,57.812717267073374,84.52412835219981
744,66.43,50.69303421998354,57.63329340512547,60.89164581100855,42.33629276642501,53.11644306667047,67.47208428221904,44.28592858061344,51.24676116200029,83.71108550513536
745,40.12,47.560793696003095,51.95774691549988,60.88729266483754,38.29046521695736,44.27920482577178,63.33054375918769,35.719974584622804,42.54429891369731,82.88397085998321
746,27.87,43.894544744832224,46.49863727871551,60.881162265191016,33.775555234353774,35.7748950915478,58.03540262817817,28.79205493785193,34.437222203908114,81.8404081135501
747,20.1,40.11314270415435,41.90546908888122,60.87981807664468,29.42315146036164,30.59800318307776,52.67686529091585,25.346081369576183,27.95501073253838,80.79790272045052
748,15.520001,38.07767285858488,40.610011595504616,60.87454255841675,27.52319719229937,32.18300113902536,48.90789558823671,26.79435172863693,31.956817513168144,78.95617318848052
749,34.88,38.18109101335568,43.35218997537075,60.87032439352236,29.43191961912212,36.39281687903736,47.86192567570388,31.096384989570147,38.94295908392136,77.14444324523944
750,46.9,39.16509608358988,47.7828435202638,60.86908144093348,33.20782960910749,38.15733149656052,48.10899202989827,33.504546576218814,41.76467236892624,75.59112370764875
751,43.55,40.94990288636501,52.94622605263206,60.870988051465744,37.339617734903015,44.32626267333362,48.88651792855193,38.62388584286976,47.23489827626229,74.17578878008342
752,53.32,44.082151846675245,60.34627645970255,60.88038049863059,41.46329573566158,57.68347269470917,51.24356098090041,48.88633795351644,57.50349765921507,72.85896768757169
753,71.5,46.2130956364644,65.98884814829371,60.8880969282774,43.44488274287007,58.13289285521738,53.46013351804575,47.2911404748542,55.507000845159865,70.77884434843017
754,51.27,45.20125911425699,64.56711285852863,60.88567288951809,40.92322439946294,44.39879261263774,52.183924917137226,34.314324563655006,41.54996777580163,67.88068947920911
755,19.5,44.06319822574977,61.54988200644878,60.884744893241326,39.13549862658089,46.09792005007797,49.83714044181191,35.504426358519325,43.20900014986569,65.53075544076265
756,43.35,44.27202269701159,61.92364516141116,60.88406436263836,41.69838812577575,51.966087633551055,49.91462531881198,41.38769216020441,49.62059672879335,63.462262988289936
757,57.17,45.71029600527262,63.98352693327944,60.8876694875681,45.52236832289762,59.0844602374137,51.81638214933912,47.32553820351301,55.656284512882365,61.90088956786087
758,62.950005,49.53442805633069,68.25882827722192,60.89728690352732,49.05785416234232,75.56952670338946,55.8466868519954,62.62583463505096,70.69192765472624,60.579675959639104
759,92.65,56.54607546414533,77.52978104467203,60.90604381384808,54.8496926459964,96.33145804642857,63.63685002115893,85.65230186219458,93.40539017404632,59.04970818290376
760,128.27,64.67710010209497,87.46325566309508,60.90342855161355,61.460693127921736,104.29607326718444,73.6408973503751,101.17009812412716,108.9397103939252,57.30487271066789
761,133.15,73.77487189164088,97.40437922052662,60.903850368102994,67.84498693154296,116.34838273003982,84.59206330387897,118.891328745614,128.07341883928888,57.2051890378836
762,158.6,86.20830098903444,112.23334353098495,60.905869463032445,79.44648142736504,141.87966376211227,99.43855830763842,150.2937666340147,163.1541752546783,58.54031696603701
763,219.67,97.50242062111204,126.83713657516076,60.90726989377738,91.18846893526973,146.44561916415788,115.48917066215128,161.70404890306403,175.01003071785215,61.586287581597325
764,196.83002,104.91510865020612,134.0886232146507,60.912387933849246,96.08311499432612,142.99304557387737,127.0781456445668,161.5511038682132,173.33261839328824,66.45205889589666
765,176.0,100.85964118789984,124.74451059527226,60.91108873906177,85.9327704581327,96.93831136923522,126.88741710070192,118.48328034639,121.76256047436912,72.10115467952448
