,Actual,Gru_predicted,cNN_1Fea_predicted,biLSTM_predicted,cNN_LSTM_1fea_predicted,vANILLA_LSTM_predicted,cNN_biLSTM_1fea-Copy1_predicted,gRU_biLSTM_1fea_predicted,sEQ2SEQ_predicted,sTACKED_LSTM_predicted
807,181.6,58.256784614955706,124.46934803585818,188.6485201609965,51.21446334881223,169.04619567273477,56.633377136428535,61.124820014487895,169.13590838503893,142.97202502478865
808,184.78,58.294198436678975,123.7755086375003,187.44408118090868,51.21443727386678,170.17462991183874,56.63396196020498,61.121013072452726,170.1411645818545,143.49188493714425
809,187.47,58.33668569778766,121.96829141853756,185.68721095661056,51.21442237389795,170.5248834790426,56.63646142997562,61.11678893129042,170.4398791568876,144.3611640184494
810,186.25,58.28966884615573,118.88249297460648,178.73339550529636,51.2145005987343,168.61965426513936,56.63928124907603,61.10583745420297,168.63748952782464,145.0172394458166
811,179.28,58.0824624296704,115.25601191188484,167.6331422291075,51.21469429832904,164.26095148436283,56.64023857207313,61.09153348412956,164.54074309898633,145.87094805969812
812,169.03,57.72530645190767,111.87792077948488,158.23591068987787,51.21497367274453,158.70347171165255,56.63940044882664,61.0827201525687,159.3017799598795,147.68667316086075
813,160.05,57.15144905252495,108.34459432186634,149.01880487379145,51.21547654669243,149.6280198991994,56.63803337668681,61.07829113683503,150.7263562012739,150.12156646660742
814,142.23,56.42395434958028,104.32424748318572,142.3148916996348,51.21594217071826,140.3093409956229,56.636345955217216,61.07687191480431,141.70923776677637,152.44235581108097
815,131.07,55.73082269974165,100.81692147116938,140.53310872745885,51.21635564485319,133.9235272559426,56.63387256039202,61.07871206095437,135.48830708212978,154.22196338780824
816,130.18,55.179300353629806,98.83029372756712,141.74294149626186,51.21656051942456,130.01848382602563,56.63116449105781,61.08271270258428,131.75419609459013,155.1200888087615
817,131.4,54.866103008897376,99.094894823972,147.17861402381573,51.21653816947131,129.90497586350557,56.629499419541446,61.08903401435892,131.9452285949143,155.17676829017736
818,139.8,54.97006009139967,102.79164413967928,158.92376775075192,51.21621782014154,136.73758006841646,56.62887362085074,61.09751954660559,139.16916558108366,154.34554372925498
819,162.88,55.56151807895866,110.54006747852485,174.21906255012735,51.215677696271584,149.1844329272665,56.62927964500126,61.10665322749622,151.55971145773844,152.75254336211046
820,189.55,56.85071925670807,124.00373146001536,198.74245934258312,51.21434787405382,172.31608323151687,56.63168598996673,61.1193629009052,173.5261394998523,150.93136487235734
821,239.23,58.37460611845103,140.13060096958054,215.1366417428796,51.21325645133729,189.59976397081607,56.63544450710321,61.130563952470496,189.7297065989517,149.3352206117904
822,246.25,59.86455085120728,154.7657973500056,227.67636610742505,51.212332653270046,204.940607974894,56.63807435160109,61.13914260952234,203.91006653097995,148.21931724646947
823,258.97,61.32568649423755,168.03760188290207,240.26709306526348,51.211282205467775,220.40813151393465,56.63998899759528,61.14844391506226,218.00622673916976,148.06915536063627
824,275.93,62.39147753940285,176.48350021249917,243.2645495940224,51.21116673070937,225.67693929060084,56.64072282105999,61.15625522371954,222.4840994706204,149.02597175879697
825,259.57,62.987755666877206,178.1287249703805,242.77431081969385,51.21125613052233,226.39698028414008,56.64105807035858,61.16201406167097,222.5589569140046,150.86292931553734
826,249.6,63.74350443570908,179.2114163051872,254.1504370187048,51.210201957727854,238.7425282549389,56.64257414218668,61.16915487173106,233.39630024025035,153.190662045484
827,287.02,64.64819329293036,182.34924544026032,263.1344328225011,51.20934148452813,249.4312890920471,56.64408648902256,61.17572203299133,242.83011120294896,156.08322279370458
828,295.35,65.04330321628632,181.61308268045084,256.3514604137512,51.21003433307856,244.90685395801376,56.64367301488763,61.17683580566111,238.1466785015684,159.61695900046587
829,257.78,64.75264207440392,174.23743421169038,242.72356152587088,51.210928331208144,233.04659797189308,56.642741766835975,61.17293946381298,226.55399615563343,163.6074984515091
830,227.93,64.20285557466036,164.62434682407164,234.42904687955075,51.21143493014825,225.56279062942124,56.64188874362066,61.16801874910804,219.06074223292563,167.74949608567343
831,227.92,63.87543620968307,158.72956155706768,234.78028384469715,51.21143120515604,226.2654582593088,56.64167269407268,61.164927005576544,219.3617812030957,171.8274685537904
832,245.88,63.57293704256805,155.1975686466591,229.464079267194,51.211799979384494,222.0689565391773,56.64151251940779,61.15988709112099,215.32865764114635,175.71269502516813
833,231.25,62.994848052038606,149.26799195244536,217.0798509773216,51.21246302799727,211.52012130931843,56.64139704464939,61.150909859903045,205.45575949710044,179.35232531037914
834,206.0,62.4157607635978,142.97302332270004,210.6566532158556,51.212630652646574,206.5079058958129,56.64139704464939,61.14252490244595,200.7597959219368,182.74528661166792
835,211.9,61.89874302029585,138.6188799323844,204.7377299993528,51.212932377015306,201.6951563649873,56.64124804496112,61.134992968204166,196.36895390840152,185.87815405712183
836,207.25,61.25111587525327,134.828849361839,194.4934054324005,51.21341662600217,192.5933465076801,56.64074889600544,61.12673466048209,188.0536240056308,188.6411446764274
837,188.22,60.38689160837248,130.43444625575424,182.6808889464,51.213938124911095,180.4991312110461,56.639690998218754,61.1193070260221,176.97245758950865,191.111589307794
838,168.35,59.51180526421719,126.6602692520402,176.2140193763036,51.21432924909279,171.89059972170816,56.63794397687385,61.11501211000787,169.15712594064783,193.0823783845337
839,166.1,58.7974188088476,124.81084042139209,174.440535686764,51.21471664828228,166.69080860064614,56.63553390691617,61.11445708616908,164.6023097701773,194.3304742732832
840,167.9,58.253581121658016,124.55347325985242,175.52322702157073,51.21498112272895,162.938191851824,56.63309776201304,61.117932503897855,161.46196254037253,194.84079820558972
841,167.3,57.94724893756238,126.9193648099637,181.6428528181661,51.21497739773674,162.85250213110297,56.63086649168128,61.125814587407056,161.7679334002241,194.54811811793132
842,175.5,59.35310197125423,143.8940350957707,231.3620968961852,51.21149453002355,203.80783784486152,56.63237511352496,61.1523477068948,201.05666290083536,193.51340468274591
843,312.3,61.86124724874404,173.00312079410548,273.79136732619594,51.2078030627468,240.34461760306763,56.63707605368971,61.18347001678109,235.5375151604273,192.13339936997576
844,343.62,63.42219405795064,192.07575139058616,271.77596774278976,51.20937500945799,239.4710324307716,56.63730700320652,61.19628026497965,234.6265459663456,190.2222697684172
845,262.35,63.89659416541666,196.86098067898925,263.7619897095344,51.21036585738495,232.64626560946343,56.63739640301948,61.20128665450535,227.7318982912413,188.7780902899115
846,240.18,64.13664756317995,196.9688862532305,265.9701948895552,51.21036958237716,235.6526472195494,56.63770185238042,61.20468384739778,229.87196591381857,187.6959502539513
847,263.0,64.79482388615166,200.08736032879807,278.57929350895665,51.209147784933386,250.0070536874396,56.63852507565809,61.20955241221183,242.6902749955125,186.95193521057035
848,302.73,65.34731473023723,201.88395386998752,279.3027763952948,51.20929678462165,251.7283874860865,56.63806690161667,61.214454501955736,243.9521533554264,187.21463656094983
849,278.23,65.23336721863679,193.84480978938427,268.0892982559936,51.210350957416125,240.41509445561684,56.6378583020531,61.21446940192456,233.03065500524875,188.17073776060687
850,237.38,64.77429172910878,180.60813938298065,257.2101754171584,51.21096558113021,232.52006287350324,56.63901304963715,61.20513084646257,225.23171332209705,188.67732180073807
851,234.78,64.36055684471974,170.11002364700715,249.7954294301973,51.2112375055613,229.73579509871345,56.63931477400589,61.193177346471536,222.31854591698948,189.25548529111165
852,242.23,63.83666649079659,163.0494648190201,239.38181141743868,51.21184095429877,221.8866405206165,56.638189826359486,61.1839803407134,214.87200339655263,190.6816060073997
853,222.95,63.08754075810808,157.08713799332574,228.2205278689366,51.21250027791934,210.77410967011468,56.63729210323769,61.17711145508439,204.4619315763748,192.5508368966182
854,203.52,62.36115610284098,151.56397284882283,222.07594462455688,51.21276475236601,204.17923446783016,56.63726230330004,61.17026491940863,198.32886600789791,194.0965298627387
855,205.65,61.8374706234892,146.68333906002383,217.72291873190323,51.212921202038686,201.5312418079273,56.63696802891572,61.16094498890767,195.998749282939,194.9022903769366
856,211.43,61.45945468936941,143.2040175394168,213.7004039477584,51.21308137670357,199.00708278894123,56.63663277961712,61.15365517915932,193.8814637126974,195.6257434633371
857,209.38,61.04873332367551,141.1583710192929,208.40890351856945,51.21335330113465,193.61785346421948,56.63721387840136,61.14877171437645,189.1244102653452,196.4399969597661
858,197.62,60.54357595555945,139.45312918697854,200.7323650793272,51.21364012553457,187.0391000282052,56.63777262723234,61.14097158069578,183.239861276925,196.660337698772
859,187.85,59.84665226365448,134.68642055982676,188.9823539625536,51.21412064952922,176.93248097314722,56.63732935315976,61.13098860158205,174.05988618315413,196.48445846674431
860,169.12,58.80022745297139,126.3763652460206,172.54916344386936,51.2148954479082,160.99675571367243,56.63596973100434,61.12072997304502,159.42243990743629,196.14037348663464
861,138.88,57.50983427771586,118.49318658910845,158.3365003794254,51.215733571154686,144.75146870185884,56.63434563440226,61.11309373902146,144.16862662127377,195.53671614959896
862,119.82,56.29594871739206,113.33282078556128,151.2174740737632,51.21644876965836,133.78971063591206,56.63130604076166,61.10911544734479,133.64416774041507,194.2302123830498
863,118.85,55.228537300616885,109.4765598535822,147.07228784627003,51.216977718551696,124.14940100524736,56.62619535145418,61.109763595988746,124.21932655895,192.15175613157
864,111.38,54.35363348107972,104.78070057820028,148.72020949850895,51.21722356803733,117.37453417953904,56.6220419851438,61.1178468290771,117.68398418211162,189.3711537491116
865,110.42,53.79437060116253,100.21741377545187,158.96414666627166,51.21717141814644,115.6875895089436,56.6222654846762,61.13167400014807,116.56603207107705,185.7725430780798
866,120.05,53.79422532646647,101.53285752329693,166.91220723743868,51.21664619424531,123.493467127584,56.62424345553791,61.12836248207638,125.46149226010644,178.9927890625964
867,150.0,54.353648381048544,110.7767385833645,174.24254490099784,51.21615077028183,136.16604706417067,56.62461222976636,61.12167612106551,138.9714429947564,171.67744076767667
868,175.68,55.07500429683672,121.9442726687893,182.6602077896688,51.21581924597544,144.49910792984488,56.62419875563143,61.12743495901694,147.58806516716717,166.3472153195077
869,176.43,55.582497235066334,128.86179924602666,186.47412301024303,51.21559574644304,146.35250015220086,56.62494747906496,61.13537664240145,149.56788362501575,161.74601554608037
870,164.65,55.85984897979448,130.64069162425025,187.0415436230927,51.21545792173139,146.82493346378178,56.62720854933438,61.137447738068325,150.0369048437354,157.0317846091354
871,161.8,56.13837409706771,130.72481684824453,186.3640718404907,51.21530147205872,150.71682022122496,56.6289667456559,61.13134620083389,153.64698849076353,151.9919744533632
872,173.15,56.42260217740928,130.57799255542847,185.04622919766464,51.21527167212106,153.5519564895883,56.62947706958821,61.12675328544313,156.22435529842892,148.00663509144042
873,174.0,56.70414453836987,129.56381127728585,186.7280482789837,51.21509659748735,156.4198875893387,56.63028166790484,61.12756533374417,158.7998149100845,145.30763983824454
874,177.12,57.13597915989087,129.245756542716,192.4052642011836,51.21473527324331,163.2609996764495,56.63162266509922,61.12910748051771,165.0554774220656,143.07474540987835
875,193.15,57.68773245551952,130.815706658086,196.5187879949205,51.21440747392913,170.27128600961606,56.63254273817426,61.12873125630484,171.4632388158273,141.1586988186071
876,201.43,58.136057617539215,132.78759833251888,196.8807231376844,51.21423984927983,172.99370401380716,56.63292268737933,61.12900690572813,173.84356843573144,140.1082808162785
877,195.25,58.3733507960774,133.50641752861435,195.6286638572271,51.21419514937335,172.7272627712522,56.63348516120253,61.130001478647294,173.37830200915604,139.87377020691866
878,188.2,58.54382133942106,133.26591713178627,196.1061482582402,51.21406477464612,174.3662891421017,56.63418173474517,61.12980777905256,174.66694071308223,139.94746545273438
879,193.7,58.85295471765607,133.52681558593778,199.6956103484125,51.213804025191656,180.01960551430386,56.635016132999446,61.129059055619024,179.7313209174493,140.2321591571018
880,208.45,59.230192128404674,134.10058358550754,200.9827292555184,51.21364385052677,184.412771922976,56.63632733025618,61.126842685256086,183.6654490865155,140.87373691480082
881,210.75,59.34197914452528,132.19983926222105,193.93781539479912,51.21384872509814,181.1186123149756,56.63818610136728,61.120990722499485,180.42498896616567,142.00206685412303
882,190.55,59.077113573673714,126.8636389265527,181.9895154928828,51.214135549498046,173.50793173794634,56.63945632370974,61.11085129371308,173.12106894733583,143.46369419612458
883,172.32,58.396650622329794,118.44465739064064,165.48125893125084,51.21475017321214,160.98140874578115,56.63910244945011,61.09861841930654,161.23730081040696,145.2837402882469
884,147.32,57.359095018090656,107.56043131248238,148.6050178395115,51.21552869658332,145.8088002897229,56.63844312582954,61.08717896824002,146.69233864119502,147.46019363469838
885,124.25,56.17451397145632,96.71332850665527,135.3500204714513,51.21652326950249,132.0180447425693,56.63727720326887,61.07747536354178,133.03717281036228,149.5487222651049
886,111.47,55.084313052361054,88.45105739287563,126.91036522879251,51.216985168536105,122.22051809083209,56.63536628226687,61.069846579502624,123.0894917227763,151.03949394613102
887,109.1,54.2873211698175,83.95780044361165,125.6163774360576,51.21709691830231,117.8486213876597,56.63282583758196,61.06745513450598,118.8479920967888,152.0266466808224
888,116.23,53.74781564856421,82.37720430051515,127.05735342126566,51.21722729302954,114.96021773074172,56.63079571682936,61.06927665569501,116.2742757814859,152.37050816139973
889,116.88,53.50109451475109,83.53032033798019,133.33737738227802,51.21706711836465,116.2369513595756,56.6302630429438,61.074111695579205,118.1809353923965,151.93986926237704
890,127.85,53.90252947487388,90.8732931751042,150.48864209861637,51.21633329489995,129.8717340330537,56.63040459264766,61.08191182925986,132.83976312338035,150.52645821949795
891,170.35,54.89264357836953,104.6984825502158,168.56510547926564,51.21566652129496,147.18242841583532,56.63116449105781,61.09036756156888,150.300544892151,148.5051582484365
892,198.7,55.92287957292266,118.95749941767896,177.60966965634154,51.21514129739384,156.91175046026936,56.63232296363407,61.09772814616916,159.73746994833436,146.61704909871486
893,193.85,56.64152369438441,128.6912691028077,180.47934405244465,51.21480232310303,160.02173155360578,56.63348516120253,61.10441450718004,162.6700818127605,145.2297130012821
894,182.88,57.09621859307743,133.63437846089607,183.05353716675,51.21458627355505,162.1458413095699,56.634040185041314,61.11052349439889,164.48503211554413,144.2076496396303
895,182.5,57.49516153341399,136.22816503420825,187.4287342130174,51.21441492391354,166.488437224045,56.633708660734925,61.11565653365961,168.28824915850095,143.28976686001317
896,191.62,57.79321678482653,136.73176908057414,189.2473499081324,51.21443727386678,167.97509651367503,56.63338831140516,61.1204356986607,169.4180392947682,142.70863827584313
897,186.95,57.931752969982846,134.39563276820934,189.16164528744247,51.2144484488434,167.20232453045892,56.63377571059465,61.12400796618685,168.42690826840013,142.40597520907102
