,Actual,Gru_predicted,cNN_1Fea_predicted,cNN_biLSTM_1fea-Copy1_predicted,gRU_biLSTM_1fea_predicted,cNN_LSTM_1fea_predicted,vANILLA_LSTM_predicted,biLSTM_predicted,sEQ2SEQ_predicted,sTACKED_LSTM_predicted
69,38.75,58.5396227885947,26.222431376505224,79.47523913900785,50.34242734117777,54.3717678402744,46.75148481708044,37.85608967598155,59.18050615845997,28.120088135220158
70,43.0,57.71475783449655,22.29014783972413,79.35293936920495,50.36689976796867,54.1576607023304,44.28822188798298,33.56857993158286,51.80035079835285,28.313948934765264
71,33.25,57.870462778689806,23.998184561203995,78.66270027605309,50.46430890431688,54.02853756064455,45.2977507635023,35.06349633610609,55.45688573603456,28.55335023890973
72,39.25,57.520662252262994,22.69235259590781,78.28219824463255,50.47941570292653,54.01822179627099,44.5218013151499,33.764429047020734,53.257753331437954,28.838849656538606
73,35.75,56.060897218375416,20.56021763254675,77.27526665260416,50.2019575923769,52.84816025752726,42.20978979612425,30.425012151838366,48.54994955840678,29.14745315810229
74,30.5,54.33547924099159,19.136000165081576,75.5558943294478,50.0260870163339,51.131986848500965,39.94251538468593,28.141519392499795,45.30872685418712,29.526942689178902
75,27.5,54.0243408200886,20.49183717453708,74.81861799205774,49.60251703550171,50.28743683336849,39.97694406485872,28.565439713124903,47.4897626493759,29.85371250126104
76,30.75,53.24664150701138,19.228757669414968,75.07383411135669,49.40721452351037,49.31943514586792,38.2083957739116,26.461889542082044,44.02343103717087,30.2648169887286
77,26.0,51.987358878178966,18.539681484266808,75.13611021946679,49.477231123380136,47.78411777653457,36.27878655869109,24.935523262745672,41.2045677155461,30.7393861716665
78,23.25,51.01860148389997,18.513470198189605,75.15644093289434,49.64663050157286,46.48917018993553,35.17837844034594,24.94660573933619,40.57856003008153,31.18060520740666
79,23.0,49.6528705852142,17.76392463108853,75.28114722525382,49.53905234003137,44.9548653209461,33.016187624384386,23.11351055146418,37.48641332758605,31.483647294037805
80,18.75,48.03219503471298,17.434423636013463,75.04288681823601,49.42438300760293,42.99373652980181,30.59678503627209,21.390535781432,34.70185028935132,31.71348487210763
81,15.25,47.29674560011739,17.95385098636243,74.10315443381604,49.312593431587445,41.589552628924125,29.78529902693581,22.055561414932544,35.089205040490846,31.804745636802185
82,16.5,48.94390757265882,20.21341425387713,73.63190889331145,49.34852251987857,42.21279794931996,32.58599603804213,27.157068242890027,41.55399038858369,31.70903133798619
83,25.5,54.12529737612003,26.74685886442217,76.16621926502013,49.40452185955226,46.220791566165616,40.19665297100984,36.824560928859015,57.56509854453076,31.312479708722726
84,43.5,54.85300631895595,21.09153085649825,79.2853072810147,49.66524069811165,48.29143180755157,39.22823307684548,32.59584957399782,48.53491246090776,31.043319698817832
85,29.25,53.20432926437815,19.57059392683217,80.32942991828462,50.24460366664527,47.63140631161899,37.60078918165394,29.87014362097269,44.1424218384585,30.954149967442245
86,26.0,51.51123792840962,19.526137457927124,80.51887020002384,50.68662609939745,46.6096027036694,36.07773553931234,28.28192494290929,41.78398937975183,30.84160468464833
87,24.0,51.39301750781845,21.00984115483735,80.80559855828756,51.12313847593019,46.17233462035823,36.14625539954327,29.376800994157943,43.27604070178013,30.696747434357142
88,26.25,51.83561589185322,20.832341773893265,80.49576611608903,51.498563331713086,46.10032236763667,36.08049790438108,30.234154002769703,43.38298054788741,30.490615570861262
89,26.0,53.04414877518641,22.123221016719096,80.5373593367389,51.65261746012821,46.78482395883966,37.771953098489504,32.993252290506895,47.30621761420435,30.128547648963195
90,30.75,53.18515412199529,21.508693837871547,81.18863184056788,51.145472179168536,47.27935333877491,37.71800810733971,31.63525821510129,45.92561836807689,29.62668497849354
91,28.25,54.00047736089584,23.599453855113403,81.26476746425526,51.58408292597925,48.20719618111284,39.705025358364594,34.81237057145739,50.16143189926356,29.452355163843468
92,33.75,56.088509863624274,26.31933059420197,81.96783889872245,51.80125691279107,50.36565982189532,43.08537147940607,38.84078661371828,56.23724836523382,29.170546236598582
93,40.25,57.60131377422343,26.768425855443564,82.97642864348799,51.61244027256803,52.2899717527078,44.66411997762228,38.87573621798105,56.81257233783028,28.871612847015232
94,39.75,55.76700065115512,21.120089969459908,81.77571328998414,51.69371543604465,51.51172583618405,41.01437172702844,33.23856718361657,46.709777873565855,28.80918266276585
95,27.5,54.194007997285325,20.938911103570348,79.39685106890322,51.022563441767474,50.08506882984675,39.778618725753645,31.27299219530985,46.18389033080514,28.666926364445096
96,29.0,65.39656859598118,45.26715197593477,83.0327031191247,52.03839109660024,58.2701949796858,57.97141199776223,58.38843374267451,93.32873107293854,28.65738831772701
97,86.0,72.74830424534791,40.95005594431248,90.0658459972303,53.685391656043365,67.28139668186029,64.97409915900107,61.32312563625192,92.03377248090098,28.84710006694975
98,74.25,66.951644395939,23.29140979667452,90.32818630373175,54.31572447884663,65.60300861175564,54.13378990617864,42.22377037152526,59.79856058035346,29.194824233975623
99,34.5,57.08856672505663,17.2370796151765,84.12803039335272,53.4578028559113,58.14089575098361,43.200271926043456,28.12274961710245,41.69325320762677,29.56173088034337
100,19.25,50.27779973770372,16.675026367196455,77.15312829589956,52.15598420719572,51.22534965195301,35.5856897200033,20.6279561066427,34.31860423525959,30.037499656080048
101,13.499999,47.67063336298688,16.23191806451021,72.15672524005613,50.73017828810404,46.230956922879386,31.106072709263827,17.412106440932895,31.987916487064023,30.542220072085623
102,12.0,47.03658070196355,15.727054577803864,69.8755252804094,49.281359997065216,42.92334574502233,28.6182529783468,16.0957477736915,31.56394664196557,31.00323422324532
103,11.75,46.18100690591268,15.669446609866377,69.8796926731293,48.30575355154672,40.649761548832046,26.9414717022662,15.69833772022341,31.1515655236296,31.482623788255363
104,11.0,45.16310656015848,16.834051285343506,70.90839302255198,47.9820505883324,39.21423415904693,26.42485807569908,17.172628098718782,31.881200418206664,31.964302484477745
105,12.25,45.14837761493805,18.331726386455973,70.84599952309766,48.13604235259591,38.88805130368591,27.420281647514148,20.830856039692947,34.425782532534825,32.323435622770255
106,16.0,59.68269899208526,46.2371309738896,75.91476700569531,49.9787819730917,49.24765033887579,49.339061511230135,55.946657098049286,89.56715289305465,32.37747966286673
107,84.07889,69.64968634500215,41.82674917688491,85.56856158918532,51.097649880315856,60.824990140961326,59.39076139292167,60.04772737694544,90.61260351990607,31.934011849188806
108,73.0,71.37873611709787,35.08696359951209,91.65622724396306,53.063356933884826,65.82250107761585,61.66388336069408,55.92070627401708,81.9024739308675,32.00547016150481
109,63.25,64.24460733512477,22.58647294037804,91.52069160009906,54.18906288690995,63.41219998716032,52.31601428872768,39.82258545264452,56.715717141887616,32.271882480258995
