,Actual,Gru_predicted,cNN_1Fea_predicted,biLSTM_predicted,cNN_biLSTM_1fea-Copy1_predicted,cNN_LSTM_1fea_predicted,gRU_biLSTM_1fea_predicted,sEQ2SEQ_predicted,vANILLA_LSTM_predicted,sTACKED_LSTM_predicted
688,64.53,60.39336467820972,59.90006073421807,64.7414483184688,59.58002982078478,55.493751399595325,40.89858081429357,63.85024721626733,63.50088495756358,79.79380592296096
689,74.98,64.52952135752433,65.39014891235875,69.58427232533936,64.65011611741414,59.52877988021424,42.84645485823798,67.9292059514871,67.69122916286275,78.8139229205949
690,74.52,67.92422095805722,68.12622648727275,71.00992379863352,68.05005967207458,61.97342551374236,44.36469691972699,69.1365292790916,69.41074438034423,77.47049956132842
691,72.6,70.34150577537359,69.50460144820103,72.5965436230865,69.77459225307314,63.54067993352373,46.09270928510031,70.24334348591826,70.90910716202721,76.35570612800524
692,73.81,72.0248474204012,70.47033872245761,73.70349540278377,70.78565574194137,64.90454500286147,47.14635157742849,71.42778116186739,72.37583627598711,75.00953131132614
693,75.29,73.97986311483567,73.33824752378317,77.49150774792578,72.25000565449155,67.0861229839189,48.31984007137984,75.32110958573749,76.19306262483347,73.90567896747893
694,82.93,75.86239409149178,75.44686737453684,78.9689028056204,74.19480858641221,69.27047669995433,49.28579988998596,77.0196651717524,78.18433281693983,73.0154934767636
695,82.32,77.77047315947604,77.46694694425744,81.24993383336056,75.83324482796183,71.15945741648643,50.49890532441782,79.26114804544736,80.61617608097757,72.59687541648037
696,85.56,80.64840050279217,82.13587884265179,87.06563271871684,78.0499726774652,74.3571688513209,51.92036891767958,85.11328755647695,86.32023053555677,72.4047184862976
697,96.64,83.40786141945235,84.55673246208273,88.66262715611967,80.70397185000486,77.28956695888468,53.123188756901406,86.91622048869095,88.59438291976542,72.4539695739831
698,93.92,85.33969203892478,84.61900441734728,88.59481991594272,82.13663953970115,78.67994312964498,54.24085908172511,86.90935803020307,89.12938762860155,72.93212431716186
699,91.79,86.14227598113608,83.08206458423531,87.12771045345814,81.93868836390831,78.91578349251365,54.82889813218907,85.62784246272003,88.33165110694951,73.58120121331558
700,88.83,86.9559709557812,83.50400057845725,88.97053142563301,81.4156848649042,79.70254655460252,55.19983100775542,87.7503167107983,90.43722816950572,74.37934236105772
701,95.4,88.99661362340008,87.07190442311321,94.0747519792222,82.3244912482854,82.48002951731522,55.63956245741942,93.33729665247144,95.79418627148564,75.3258194334261
702,106.08,92.12535249491816,91.3934405456016,98.72932774394022,84.6982463908301,86.29224659516629,56.46806674696176,98.3539156575566,100.99293557224118,76.67663935761941
703,111.47,94.46003694220396,91.85206803367274,97.41647793204078,86.36032088856268,88.3036186114282,57.08994467733977,97.66393106369496,101.00147318274205,78.34331040773539
704,103.65,94.59321557349551,88.21548295648525,91.79645622385104,85.6102574128448,87.21892935920756,57.11743497390035,92.7694605826856,96.83465798458148,80.29313879569493
705,92.75,92.07288867607734,81.98630476218986,83.50531156698914,82.51731176525593,83.52102724432815,56.25821956412034,85.09350134067165,89.79583916906365,82.38134121394276
706,80.69,87.8160360803504,75.27108970848082,76.68318620775703,78.24501054540941,78.75475849370225,55.09461203928894,78.27466963781286,83.14827759761731,84.65811557521519
707,73.99,82.38649615033047,67.11727514659476,69.14276052087897,73.7997478570939,73.40876575876369,53.31899136815588,70.54286390284497,75.49119011644507,86.65348867587502
708,64.16,77.28687214912469,61.69136875886384,65.56821271582376,70.17525300747825,68.78959477692837,51.514541088104046,66.5586321815757,70.99194221519002,88.3063053286664
709,64.06,72.05099435834268,55.34168077615756,59.36245023336178,66.96848604074762,64.01688437894826,49.671627051928446,59.55281871622637,63.90737232766595,89.54654094243865
710,52.56,68.03987118712617,53.09266376466517,58.89114985614911,63.98815592655202,60.366578431045895,48.20454186700927,58.208772232781136,61.69952602084001,90.1942906650169
711,57.58,65.83153123647031,54.11806720216612,60.46748003913114,62.54872288862945,59.03424587290871,46.88288739138951,59.33422756357814,61.92094550985796,90.00736959643984
712,61.64,66.09875439888621,59.16627131984352,65.77340265236828,63.45257664866797,60.18876954201764,46.15882923448158,64.61017547606156,66.11457123274775,89.2745108220725
713,72.36,67.7718792351391,63.90197461562418,69.13817206101736,65.87203026182722,62.310171530957184,46.14506385489678,67.89666996758312,69.02304784586553,88.37295533822568
714,73.7,69.45997119046433,66.19142995855997,69.90484948399425,68.02434163778858,63.52899837830289,46.5369604081906,68.46926848644932,69.73345796475479,87.41428283550205
715,71.19,70.97329704495877,67.72208999475377,71.52290875564707,69.43852600768966,64.43297757242934,47.19382635657851,69.88823553673524,71.16725051498153,86.38450943622814
716,73.82,72.4319498221605,69.12169568662898,73.74327823996123,70.85905491468333,65.70773588420789,48.101515971951066,71.83821768260901,73.10519908093609,85.33159142460121
717,76.68,74.34817805959915,72.16318908060228,77.50822689796821,72.94000643339677,67.78089025816536,49.11890781286827,75.5240376624384,76.6443501956304,84.18549611694883
718,82.93,75.92067643350805,74.0388980613795,78.21141039488852,74.86202891644547,69.36305514936646,50.21050807870761,75.98966518186805,77.45253416292852,83.1965171200776
719,79.69,76.95410765263634,75.04782512449206,78.50494234568193,75.69674826273156,70.03258994063503,51.1592672422241,76.04789896875351,77.7988131708258,82.28342170014147
720,79.31,77.2657182971349,74.69723280247445,77.3485857203849,75.78468969715128,70.0595865933657,51.48657333275716,75.02652560710983,77.08419494059963,81.27039982099721
721,76.89001,77.28842591331063,74.07911789473425,77.30360748421073,75.84812697555527,69.99506491704027,51.76839945076434,75.01895100670339,77.15283571052215,80.50122990130538
722,78.1,76.96782447709032,72.53741156628104,76.38381145622274,75.98893685490589,69.73179090526362,51.963275468272506,73.99625047148423,76.29143531985567,79.93536031431734
723,75.75,76.96653776612385,72.66107339193373,77.87505281872018,76.10342985335718,69.88647136698246,52.38154150385735,75.17133319223052,77.31109306687736,79.55888810757769
724,79.67,74.4735635923956,64.73152284047895,68.02676939432911,73.85497122586911,66.78819274752621,51.65365558413719,65.00739690870093,68.34458700304961,79.0603725795457
725,54.882847,72.08115518709783,61.90417375842381,67.77656885152321,69.82557514042422,63.81773146366786,50.423041978787225,64.98088580727837,67.75286990142676,78.30406976951866
726,66.75,71.64389195658337,64.51746754630061,72.0501608285971,68.28623992085893,64.66728844867748,49.30865721781503,69.93485655483518,71.73524034268164,77.44432025329972
727,78.09,69.96297806809629,59.504154336371485,63.951836688705725,67.08666113661872,63.15724006551276,47.63323410537045,62.36183823640052,65.07408333460833,76.73969628749872
728,54.882847,67.52684981376451,55.15433080392503,59.5460857380873,63.72468769425213,59.703343668,45.80570395314,58.4974203466672,61.2409268565952,76.20319446212928
