,Actual,Gru_predicted,cNN_1Fea_predicted,cNN_biLSTM_1fea-Copy1_predicted,gRU_biLSTM_1fea_predicted,vANILLA_LSTM_predicted,cNN_LSTM_1fea_predicted,biLSTM_predicted,sEQ2SEQ_predicted,sTACKED_LSTM_predicted
22,61.96,76.77875533845094,58.82284861932287,63.95166118653352,77.96801152771876,65.39487505421421,69.04277585831134,59.79659443653173,63.43390244356509,64.42072927050255
23,60.38,76.85988538591472,58.74498566666095,64.46642228581777,77.90814285750936,64.74578415241935,69.1923801710554,58.707338293312674,62.391231872488575,63.93332588001018
24,57.53,75.70183500421314,56.21029689421405,62.72657641896176,77.59658158234511,61.2920439294788,67.69141535054334,54.48228161549365,57.926498425493705,63.4176385425089
25,49.670002,73.58916983465792,53.000793058581344,59.36099723358695,76.9034522635045,57.72153032841394,65.03590722303323,50.81591498948805,53.83475689832029,62.80560137956867
26,45.59,71.39128232878917,51.4457275058477,56.930918647405385,75.6610131598847,55.67341554223781,62.63030237664964,48.98443469175246,51.99566039633655,62.01068269085096
27,45.59,69.17116510571186,50.22450346757143,55.47298601242146,74.37178218561037,53.4302855096412,60.58583360090961,46.8045919904208,49.83377408589399,61.1544428219926
28,42.9,66.78914144229894,48.57685619487263,53.838487112230666,73.5163927718422,50.69709125676514,58.35360791823158,44.60334476592848,47.06081474229165,60.29035518933184
29,39.24,63.84412492953715,46.17781921948247,51.56707313262514,72.11773938274774,46.6732093095098,55.41957153851523,40.59444261674664,42.99548784499824,59.18058707977944
30,33.0,60.843963561472776,43.49834678319375,48.708558848985874,70.6888443158675,43.72309006620696,52.36894702831796,38.34901803947604,40.69804657149437,57.88724276578679
31,31.38,58.70965809902894,42.52708075830228,46.68009715370548,69.43533666555426,43.32261834255591,50.52659185187977,39.24871953158134,41.01750613254561,56.39791907559321
32,34.73,58.43708303245393,44.89943786286846,47.39085025971181,68.1703899732608,46.47720046209288,51.003642425210046,43.35861953798212,44.97546096961748,54.67272882343472
33,43.44,58.89129341338715,46.92462825317327,49.2048078144508,67.43042668202854,47.833802636134486,52.29299970469578,44.352540507627225,46.456402203947,53.01756639065689
34,42.34,59.65523785409288,48.11707575411612,50.433307032904416,67.38238859995475,49.01433534546745,53.28942572770057,45.39006624642555,47.65811208706008,51.538852338221936
35,43.38,59.80932179166837,47.4460919490098,50.50298540786683,67.24723360339624,47.96164877112594,53.35268358774952,43.57138908695344,46.0322566735036,50.1430534469054
36,38.97,59.74317154227807,46.54132561792687,49.71850373978548,67.19917026028017,47.72803465209789,52.97873595849506,43.30322207225671,45.73994852273228,48.87838462607704
