,Actual,Gru_predicted,cNN_1Fea_predicted,cNN_biLSTM_1fea-Copy1_predicted,biLSTM_predicted,cNN_LSTM_1fea_predicted,gRU_biLSTM_1fea_predicted,vANILLA_LSTM_predicted,sEQ2SEQ_predicted,sTACKED_LSTM_predicted
633,133.82,126.63100795585004,92.69835811702862,129.4369175106417,128.55269755949553,125.45599926519144,101.5245938076905,129.723491920596,112.11582943552834,116.20776473700694
634,100.55,116.3059154300026,83.34485469963361,120.05210445403816,111.26318717282057,115.6539675823309,98.72687464603308,115.07705862739247,94.91887049127,119.68892008503116
635,90.22,105.68801634960693,75.2023977026878,112.23209578897452,99.60294143310472,107.1146339173487,95.77437194576284,103.61030720256656,82.80970930386778,122.77132242041009
636,82.78,96.29131233133492,69.02142072839587,106.91114732283503,92.07273866037744,100.0716999696118,92.40578238265051,95.40168672072016,75.29518741108653,124.9643299653444
637,79.47,88.93872195662908,64.54511027712847,103.68991782383117,89.86457888814482,94.76457837624524,89.85604598766136,90.44818162801748,71.84447798808577,126.4600074388315
638,80.06,85.33362362304833,62.98620669155119,103.61861672869183,97.32558773051188,92.91034782877796,87.96874858936766,93.96416848429794,79.29203969408881,126.847904457668
639,100.57,86.29566720059343,65.0270925756413,107.64711371243996,111.60254494361892,95.42728542217056,87.53480666949298,103.66626992510908,93.99299122231844,126.407276198671
640,124.2,90.24238683180236,68.7206471550716,113.65011344392536,124.21061276007408,99.79654743517374,88.5667813127804,112.03793879682196,105.12744350606532,125.39888988761012
641,131.88,95.46680034613718,72.45957651246545,119.12152687775232,133.7566350909948,104.03382498572498,89.92162125341868,119.0792495575559,113.3842383911648,123.71519077100918
642,137.76,100.57309349985272,76.13918508613176,123.61264704896878,139.56678084741716,107.67345699508436,91.4059140804492,124.01292645306184,118.331950642178,121.7282981922034
643,139.55,104.98895884978958,79.53927787956306,127.2345207968508,143.36868688220122,110.67866859807926,92.99114233414105,127.96164900768268,121.99668992939974,119.77542552815238
644,142.22,108.82816095658208,83.1572276845526,130.30727335995522,148.1213784268768,113.53340034176276,95.41744950459756,132.01447890485136,125.95906810311892,118.30824317696042
645,147.07,111.79250994364916,87.46095166085816,133.23790026474515,149.54865122606927,115.84277848151042,97.38854207046624,133.99469259034677,127.22001635519128,116.91921951370472
646,145.39,114.1710150014496,92.20272019941746,136.17272660746937,151.93433404658006,117.686763591748,99.70279721703471,136.2482569237907,129.17346979257363,116.03051718377056
647,148.43,115.59088666357356,96.50919168032895,138.69171924495743,152.09208101834508,118.78953301496284,102.06833167043531,135.98452626486895,127.88823330195234,115.54755948389356
648,143.28,117.58675144576726,100.88612287963052,141.2749096729939,159.10399571353915,120.67427649976104,104.68226585597289,140.8824409256261,133.97315930221572,115.31055184402511
