,Actual,Gru_predicted,cNN_1Fea_predicted,gRU_biLSTM_1fea_predicted,biLSTM_predicted,cNN_LSTM_1fea_predicted,vANILLA_LSTM_predicted,sEQ2SEQ_predicted,sTACKED_LSTM_predicted,cNN_biLSTM_1fea-Copy1_predicted
646,78.01,58.70780502603415,83.64526049279446,70.65210240057843,85.44751093290358,71.01802722727903,77.87683831887304,79.92001328798258,74.73917288147355,75.05793680436942
647,101.94,63.732682584658896,94.45911647649218,70.65248345680132,94.21112508663074,77.69760332821217,86.91236726496463,91.2381867902422,73.13958199729103,75.0566342849166
648,108.14,67.76277476778846,98.17489963038628,70.6520539025137,94.00436398008678,82.27018100684796,90.12424859799457,91.5826200459714,71.98720562459553,75.05334334480976
649,97.5,69.50581599915432,94.71705689791872,70.65094537531981,88.23405730993576,83.47853107453957,88.45281129505854,84.98283711811293,71.30458150689766,75.05135492415575
650,83.65,69.40502316405055,89.05334204575446,70.64985070471585,83.5358419304633,82.80130409861692,86.19705545163714,79.58491937386184,70.99629316598397,75.05146577687513
651,79.23,68.18750003382956,83.31570228634816,70.64908859227006,79.53491094082781,81.4672886169088,83.46391237217026,74.75388857997234,70.95782727235625,75.052214032731
652,74.74,67.1062564655065,80.52502664551876,70.64885303024136,79.69895218063753,80.71442544488855,83.35135529222141,75.28104868702316,70.99519849538002,75.0533918428745
653,80.67,66.30308694376888,80.39704718098504,70.64876989070181,78.4932002235566,80.44129820090583,82.70627560492134,74.61169918247202,71.07584384873496,75.0546597208525
654,78.75,65.81468371873417,82.58880636384461,70.64872832093205,77.5567649482294,80.17890288581889,82.44748993150948,74.59851463715978,71.29514516915974,75.05513777320486
655,79.39,65.49953636580834,85.15337017030183,70.64877681899678,76.8001951384046,79.95049778581436,82.04747096530201,74.22879310482013,71.79615789102485,75.0550754185502
656,78.64,65.13307806039568,85.65831123541025,70.64883917365144,75.85243210081492,79.4842304631825,81.10656001142952,72.91874952367972,72.46944959540923,75.05448651347845
657,76.32,64.72777280513239,84.32895156791645,70.64890845660105,75.06661102966154,78.89949622499941,80.35078002723037,72.07802171495436,73.03638504383554,75.05410545725556
658,75.91,65.35899590250894,85.70472388335912,70.64926872793906,80.0747428993637,79.92524415067872,84.11197122630388,78.94858319480352,73.4988833740082,75.0551308449099
659,90.86,67.87840801070031,91.82332979782802,70.65004469697479,89.80285885130819,83.86946704605216,92.1802201278985,91.83079157150183,74.05526702920774,75.05568510850684
660,110.39,69.99698361387875,92.709611145927,70.65001698379494,87.87251116565099,86.80687011758182,92.84798305290336,90.03409069565711,74.8033288928195,75.05327406186015
661,93.75,70.37400064081315,86.61666070770151,70.64931029770884,81.07435729644723,86.34525168086931,89.44499855994307,82.4296911417527,75.61419575025965,75.05038496286109
662,79.98,70.65588524962754,84.29331241863314,70.64913709033479,83.7521848689394,86.3507804602488,91.58467774957504,86.0825238076242,76.60617516629532,75.05173598037864
663,95.14,71.76288821861846,87.62043901005707,70.64938650895341,88.93739702956931,88.56319289038939,95.8680961096866,92.72522752277082,77.68443263948986,75.05366204637801
664,105.09,72.82567480916336,90.30277690256932,70.64934493918365,88.7092067067086,90.4391950303665,96.83524451657932,92.7258441410224,78.8515870653388,75.0528652924574
665,98.41,72.92115364203146,90.04227301200696,70.64890845660105,85.21108286733333,90.32450403556945,94.63574642824744,87.78346179050742,80.24796412999777,75.05184683309803
666,88.28,72.10427995285944,90.22753561928457,70.64841654765877,82.78730894279416,88.96396704074769,91.98956730714065,83.27731260396502,81.70634943456453,75.05280293780275
667,84.01,70.63328515146227,90.65800444184896,70.64800777825602,80.64584225306204,87.07568796209833,88.83787207244355,78.70934916977376,83.0016288191414,75.05323249209037
668,79.16,70.5136681389474,94.75178151226709,70.64852740037816,89.34915945573697,87.39680057698624,92.83016347826172,86.87656183660222,84.09703382236631,75.05345419752915
669,100.51,72.99202317119536,104.14065350140872,70.64994770084532,103.55861436996577,91.78002102602204,102.36811851839062,102.47078199313404,84.7742746548789,75.05435487587418
670,124.729996,79.43663307679518,122.14429908361392,70.65198461956408,126.13417944278538,101.3243223843359,120.5325698266584,127.6353192555612,85.0356792237863,75.05482599993158
671,167.07,88.51669017460603,142.6643291091122,70.6535365576355,144.06450980770518,113.98399392686233,138.77504759278557,148.0999367779553,85.53307537568138,75.05120942996155
672,187.35,98.7001752412075,160.52493311353678,70.65438873791581,159.55552608248655,127.17709568337996,156.64948047395384,165.82636742215033,86.91356585999301,75.04481461371184
