,Actual,Gru_predicted,vANILLA_LSTM_predicted,sEQ2SEQ_predicted,sTACKED_LSTM_predicted,cNN_1Fea_predicted,cNN_biLSTM_1fea-Copy1_predicted,cNN_LSTM_1fea_predicted,gRU_biLSTM_1fea_predicted,biLSTM_predicted
1198,19.63,50.16730843965664,26.998516238114075,28.170072849497977,34.06921076989536,29.06186019621164,58.45179913194877,55.84548540984576,45.87658304165869,22.96555843831797
1199,20.12,50.10403944702723,28.136907381386354,28.74164124116973,32.954521752033784,29.347509361080025,58.45251060546023,55.84580203418332,45.87662029158075,23.372316412304023
1200,21.38,49.98462364686748,26.994441096640035,28.17952687971837,31.90101945615812,28.755341762505672,58.45231318087328,55.84603670869234,45.87723119030264,20.863528573658577
1201,16.95,49.82589800395129,24.80036481205901,27.23033367810852,31.15397226912091,27.090836444962893,58.45255530536672,55.84600690875469,45.877529189679166,18.79655647315177
1202,13.07,49.83449156097196,26.66894755263356,28.013002965617623,30.425009919246826,26.627581514179067,58.45290172964193,55.84566793446388,45.877506839725925,20.216208740473043
1203,20.8,49.9355543245297,29.14051713164658,29.27164430730394,29.847394002727626,28.449048690828207,58.45239885569404,55.8456791094405,45.87708219061437,22.811600785426247
1204,24.42,50.11317312791786,32.53037923941945,31.16053198039676,29.35208923899806,31.057651420642184,58.45233925581873,55.84612238351309,45.8764191420016,26.488162505869774
1205,29.51,50.34046097738906,35.91777540235154,33.24732103944278,28.88263219619022,33.50535869957961,58.45290545463413,55.846614082484365,45.87606154274976,29.411761751651976
1206,33.24,50.420693584527406,34.60155685612753,32.50470659313144,28.49699492801569,34.653628522183844,58.45307307928344,55.8470871564946,45.87657559167427,27.047857484882933
1207,25.24,50.47628164322676,33.57668485035193,31.92948212160889,28.299279791672827,34.34306102194928,58.453281678847006,55.8470834315024,45.87689966599625,25.65143426896213
1208,24.47,50.61309688198363,34.6406580993204,32.54362903669839,28.23209955722648,34.248055095719494,58.45293152957958,55.84678543212587,45.87667244147164,26.848231427538074
1209,28.48,50.87525810849319,38.27022718058134,34.869484370572934,28.2381377695934,35.598968219355946,58.45287565469648,55.84681895705573,45.87599821788224,30.67224696448057
1210,36.12,51.24673295629816,43.571479639367205,38.41061841185656,28.260107773628032,38.57202977415372,58.45319227903404,55.84731438101921,45.8754692689889,35.11804937552834
1211,44.43,51.614739836358766,47.56546843319378,41.10318805349601,28.38441448855508,41.99587498582757,58.45392982749095,55.848159954250114,45.87543946905125,37.54235625342379
1212,46.94,52.21988344528487,56.31811614601365,47.06065003936851,28.712504352129567,46.508870668794415,58.45471952583876,55.84901670245763,45.87475407048523,44.73957759548726
1213,63.529995,52.80998926067286,61.4580429173231,50.62026004199696,29.303295566083573,51.99623863819174,58.45503615017632,55.85010440018197,45.874314521404855,49.14492845366727
1214,63.950005,53.37910101998435,65.21987529686442,53.67602014877386,30.08817004897899,56.68146678581598,58.455613523968346,55.851240522804986,45.87419159666204,52.22388781190698
1215,66.28,53.89615228821615,67.13173499689545,55.37196067554829,31.09794093634896,59.7408438600255,58.45594132328253,55.85181789659701,45.874176696693205,53.77213239768901
1216,65.91,54.232552609403605,65.08559677780026,54.00147271786607,32.28033168756581,60.58548956786831,58.45693217120949,55.85205629609823,45.87477269544627,51.23762162536077
1217,58.28,54.377801230516255,60.89298394953241,50.89926568326485,33.59469146267872,58.98575068982199,58.45763246974433,55.8517545717295,45.87585294318619,46.22785725672716
1218,50.67,54.32847488371622,55.22502090797384,47.09228267318711,35.07128209837425,55.46685112701967,58.45780009439363,55.85097604835831,45.876612841596334,40.67130128208412
1219,42.32,53.94560900974341,45.30220786835924,40.46884423066223,36.564638923991765,49.41347059182676,58.45675337158357,55.84991442557943,45.87729079017794,31.84500674834721
1220,25.46,53.298153214342335,34.50957562356952,33.24593906733412,37.8937049683364,40.878984497571885,58.4555874490229,55.84851755350195,45.878099113486776,22.7116089571279
1221,12.13,52.59915470177829,27.311635358010165,28.94257849577132,38.8756278139697,32.73226636703372,58.45460777607256,55.84675935718042,45.87874726213073,16.516891042639287
1222,8.9,52.20291983077593,29.80174049824332,29.96577611755005,39.53906010094496,29.36928566551991,58.4546860009089,55.84547423486914,45.87834123798021,19.154651148950563
1223,24.91,52.33941472020303,42.50049595506589,37.88397528869272,39.93282157712212,33.41755690827742,58.45504732515294,55.84586535905083,45.87689966599625,31.490283190495404
1224,54.180706,51.99183569740352,38.13328156709724,35.06543386060986,40.17054312976406,38.195403262127,58.45343067853527,55.84728458108155,45.87724236527925,27.105220502368745
1225,25.04,51.69606014122144,37.59462906905926,34.650506978714695,40.283805242798486,37.26381996117394,58.4544029015012,55.84802585453068,45.87710454056761,27.430367622100007
1226,29.56,51.55706205703149,37.83594151418838,34.757835179163976,40.12948626566272,34.930719517457526,58.45410117713246,55.84737770588672,45.87693691591832,28.18325187192499
1227,30.89,51.86943617848626,46.298218634517966,40.33283731521419,39.84566420947168,36.37661994236273,58.45448485132974,55.84742985577761,45.87580824327971,36.88596420171904
1228,52.0,52.01111998205718,46.22827818084651,40.36826944108354,39.46046649037753,39.60942147873577,58.45466365095566,55.84825680404748,45.875826868240736,36.60387054191187
1229,39.89,52.04568418474239,44.93405198861037,39.58302245896746,39.03617125308272,40.657518810919626,58.45580349857088,55.84890867768364,45.87637071710291,34.825518287558225
1230,36.78,52.02029091286987,42.60932905236664,38.09057825644057,38.79221778847912,39.75328812773976,58.455967398227976,55.84856597840064,45.87667989145606,33.14282383307053
1231,32.78,51.99826875894435,41.00053471826603,37.01547845575094,38.588628339426414,39.10503890899867,58.45571409875792,55.84811897933584,45.87665381651061,32.79915977708017
1232,31.93,51.60775175097915,31.247562698312183,30.927261793441733,38.28451997567813,37.43144461047174,58.45437682655575,55.84767943025546,45.87731314013118,25.24468188246439
1233,9.99,51.29684527645379,28.28988163633553,29.19018059024131,37.77315304555363,35.888884362797015,58.45475677576082,55.846625257460985,45.87731686512339,24.086661892759334
1234,15.87,51.02479419563566,26.683501097184813,28.225416921207803,37.03261714489359,36.44578559765521,58.452968779501646,55.84573870931581,45.87702631573127,23.833353110228806
1235,15.899999,50.840250631735394,27.89864197988225,28.740164281759807,36.191454304763965,37.81023534297051,58.45216418118502,55.84556735967431,45.87617701750816,26.56508545743253
1236,21.14,50.81698060542065,32.213035978361056,31.038445360824863,35.01916573241146,39.103176412895365,58.4517022821514,55.84574615930023,45.87548416895773,30.599814491022887
1237,30.43,51.01517254076597,39.38274825297866,35.58011975879046,33.93762542019658,40.779828930023925,58.45167993219816,55.84645018282728,45.874489596038565,37.099883054160685
1238,42.58,51.239923670544464,43.67527654720462,38.46033588283829,33.003810848911755,42.46391280660469,58.45194440664483,55.84753043056719,45.87411709681791,39.88675832349509
1239,43.09,51.63884053593558,49.990866733805774,42.712772085944415,32.34474425280265,44.48094766158958,58.45306935429122,55.84852127849416,45.87384517238682,43.983638852052856
1240,53.0,52.10384248806431,54.57928233398001,45.89705932381846,32.00951730416028,46.81992986800024,58.45381435273255,55.84934822676402,45.87378929750372,46.25566059855736
1241,55.55,52.42644543811845,54.02471294424316,45.71567082831721,31.97361210428069,47.509831949595736,58.45503615017632,55.85011557515858,45.87464977070345,43.5822821167664
1242,47.97,52.82154418649779,56.2576967724223,47.2541559345179,32.20148850252054,47.98350568358147,58.456961971147145,55.8502384999014,45.875443194043456,43.70148931736259
1243,54.180706,52.81741689513286,48.41785467484194,42.21972839248427,32.732404191745374,47.69988477696958,58.45725252053926,55.850037350322246,45.87674694131577,35.48458488366733
1244,31.87,52.93825564231554,48.71682627433729,42.3244937982954,33.49681356745763,47.05415365296017,58.45714077077306,55.84940782663933,45.876635191549575,36.814716275783056
1245,43.09,53.05160343017072,48.81424972050918,42.33875306846233,34.35033593172881,46.82318551118883,58.45487225051923,55.8487149780889,45.87562571866158,39.11649326003403
1246,42.94,53.12551100054222,49.36530644259519,42.666813132099165,35.03255707939425,47.54073820993404,58.456660246778405,55.84885280280054,45.87502599491632,41.08272667130506
1247,44.17,53.42673249533037,56.2167777330326,47.17658669680728,35.40180810685187,51.70209090360395,58.45663789682517,55.84906512735632,45.87511539472928,45.462997156957904
1248,60.44,53.711835948840495,60.08194884636991,49.81890991857167,36.24541826686124,58.13767053916469,58.4562616726123,55.84982502576647,45.8745082209996,49.738260112306186
1249,60.64,53.653141246640814,54.9952373137242,46.63287193436052,37.08267359016612,59.85971208633089,58.455218674794445,55.850689223958405,45.87481367036054,45.37702433682916
1250,42.92,53.43864502040714,48.88198125380211,42.60822645467348,37.909443060409366,55.24407424311069,58.45591152334488,55.85030927475333,45.87494777007998,40.64907797857944
1251,34.66,53.36084855817192,47.80660580368919,41.793701033813385,38.43183596746545,49.88579960362591,58.455810948555296,55.849165702145896,45.87549906892656,38.2651425662193
1252,40.2,53.55761009650989,53.13533752998328,45.19749833743121,39.104264110619695,48.39491244784138,58.45550177420215,55.8486591032058,45.87504834486956,42.71945472196309
1253,54.82,53.453988263306194,49.56178488152546,42.87823623976238,39.75929654016903,47.02548611293804,58.45448857632195,55.84915452716928,45.87554376883304,38.395304968895154
1254,38.85,53.54253877804192,53.83974100623913,45.664720384915086,40.40481906461488,45.31400864366981,58.457032745999065,55.84937057671726,45.87556239379407,41.6926196452946
1255,54.180706,53.38715445313506,49.635018228307565,42.94175480686963,40.98921074195792,44.19697660571028,58.456094047963,55.84938920167829,45.876657541502816,36.24550766667419
1256,38.09,53.39701823249818,51.556957757249705,44.16288547703531,41.86071364361044,44.28009235681654,58.45739407024311,55.84938547668609,45.876326017196426,39.060059628103765
1257,48.45,53.46868708255351,53.04288322341503,45.15737644637373,42.588294021375866,47.52538751705057,58.45722272060161,55.84920295206796,45.876087617695205,41.20201582172979
1258,49.54,53.50271116136876,53.1009595769084,45.23100091733753,43.28380221624232,52.09146433896172,58.45708117089775,55.84955682632759,45.87578216833426,42.53211741390786
1259,47.69,53.69100206742888,57.13623990934533,47.87957467602463,43.87798317310435,56.14980982314203,58.45695079617053,55.84973935094572,45.87489189519688,47.92625627835796
1260,57.55,53.88729425674881,59.43816216829235,49.47650490994715,44.31426171032784,59.42334414929443,58.45680179648226,55.850137925111824,45.874251196537344,51.38598433995816
1261,57.8,54.07183409565687,60.948233033940966,50.56773765188365,44.55460938247545,60.84662642152105,58.45654104702779,55.85069667394282,45.87400907204391,53.19189036166415
1262,58.42,54.17236791032128,60.05348990591136,50.06409263060346,44.85831917205762,59.9664405630349,58.45649262212911,55.850938798436246,45.87384144739461,53.01859627422788
1263,54.180706,55.22302431215109,81.78001354995017,67.43740785737052,45.10253711110791,65.7914604510011,58.45863449264791,55.85097232336611,45.871472352351205,74.0162059932913
1264,110.68,56.07349218281284,89.34401252464606,73.81353661731363,45.5659447665722,77.33284965425088,58.45732702038339,55.853155168799184,45.870950853442274,79.51185834535613
1265,98.33,56.40396604139956,84.96991807607179,70.69626943922106,46.51591835404933,83.19679198578403,58.45929009127628,55.85549446390494,45.87206835110426,74.43058902632428
1266,77.38,56.16919095759306,70.40126495642573,59.19606374980764,47.56241021459214,78.79139270270535,58.45888779211796,55.85492454009733,45.87476152046965,58.87670899295767
1267,47.33,56.10835438487457,66.05384890203527,55.54141802101175,49.18545636887527,71.40643175342834,58.4596961154268,55.85286834439928,45.87504461987735,56.25246688336421
1268,56.09,56.006971271987055,61.67805213202257,51.95233960503675,50.54698199530837,67.8420984606819,58.45906659174389,55.85115484798423,45.87527929438637,52.70730985049744
1269,51.17,55.83482448215042,59.574612357812974,50.17495212366462,51.82759706602153,66.24019536216353,58.4578932191988,55.85059982414545,45.87494777007998,51.63275762366217
1270,51.88,55.720735420846125,61.666981455184505,51.49558851064568,52.93672467051862,64.3084665537024,58.457386620258696,55.8502943747845,45.87398299709847,54.81001580124233
1271,59.88,55.47990722470387,60.47946883968356,50.552770633197454,53.506659653107775,61.91114724434389,58.457740494518326,55.85050669934028,45.87424747154513,52.75680009695456
1272,54.180706,55.335310477227374,62.20895664627079,51.775417375191225,53.95769660945389,60.74287048859792,58.458422168092135,55.85073019887268,45.87468702062552,52.718224077662825
1273,60.04,55.2405392255066,63.07198519065325,52.42911253253839,54.71177285678499,62.01213923304972,58.45797889401955,55.85086057359991,45.874731720532,53.32172869001802
1274,59.86,55.18838560962175,63.650424330450114,52.88771494805615,55.5351972840267,63.85240085787735,58.457446220134,55.85114367300761,45.87425492152955,54.81743971071012
1275,60.13,55.09561095372372,62.2505052093434,51.862474168052096,56.09528711221376,64.79392988802208,58.458183768590914,55.85124424779719,45.874210221623066,54.27304699968175
1276,55.91,54.96317258080963,60.05457015365127,50.25206691232602,56.19342948188152,63.43687052724471,58.45769951960405,55.85110642308555,45.87480622037613,51.25558726277329
1277,52.38,54.92173949249542,60.51112009846319,50.50632743036535,56.61824249309305,60.40426869701635,58.45865311760895,55.85076744879474,45.87449332103077,52.72769673284426
1278,56.45,54.77760091906034,57.84931516745819,48.73550338526128,56.56854737206456,56.87113221400033,58.45791929414424,55.85060727412986,45.87514519466693,49.37958806271536
1279,49.29,54.654247802138194,57.068556800951086,48.16254743399256,56.838937106358536,54.27131487830567,58.458183768590914,55.85041729952732,45.8748471952904,49.910853901207616
1280,50.94,54.49927695136627,55.47798140373305,47.06983214515783,56.73966606405217,54.40324665227966,58.45811671873119,55.8501193001508,45.87493287011115,48.86062214848936
1281,48.08,54.457121214563976,57.08689121259206,48.06455778900526,56.547568215956886,57.11788314775112,58.4577814694326,55.84998147543915,45.87466094568007,51.00681738324652
1282,54.180706,54.425201756345466,57.76796133766565,48.50604759032582,56.35491906901503,60.82074890066168,58.45745367011842,55.85006342526769,45.8742847214672,52.90422411351588
1283,53.71,54.615861757449,63.45130859703756,52.46537905666202,55.92626931583068,65.9236753243828,58.4576734446586,55.85036142464422,45.87368872271414,58.874965696604974
1284,66.8,54.68822718104696,63.391343672495424,52.56167755518751,55.56296337593483,71.64416075605469,58.456690046716055,55.85098722333493,45.87364402280766,59.61965123858319
1285,59.03,54.7202807389849,62.86240967912452,52.24455034367709,55.28066111656408,73.10280810429093,58.45366907803649,55.85141187244649,45.87324172364935,60.63616436184714
1286,57.79,54.84819324636796,64.43155519617788,53.460980073678016,55.18729791189742,70.29575827716549,58.453643003091045,55.851281497719256,45.87149097731224,65.66320151934283
1287,62.35,54.93301876889706,63.90962418815541,53.12242670699514,53.73546729939928,66.75916127638953,58.45584447348516,55.85133364761015,45.87209815104192,62.07237235703072
1288,58.96,54.911492038935016,61.56118422653214,51.37558416171728,52.59085914413415,64.15365587759536,58.45795654406631,55.85135599756339,45.87344659822071,56.49732179608182
1289,53.87,54.943731846483296,61.93328487302782,51.61412521264467,52.11769573408072,63.03264927295137,58.457945369089686,55.85105054820245,45.87431079641264,54.50773268367529
1290,57.93,54.95806561649436,61.716505226571485,51.43392126466512,52.4702066465618,63.03819206135481,58.45791929414424,55.85088664854536,45.87408729688025,55.00352542138392
1291,56.9,54.927729279963664,60.97681862413455,50.86249628519332,52.608679506850606,63.3519854048403,58.4578932191988,55.85092389846742,45.87430334642824,54.07519403862724
1292,55.37,54.96660329863192,62.487250814027206,51.97253651278103,52.8834088570653,64.028496139453,58.45756541988462,55.850868023584326,45.87396437213743,55.94458137751842
1293,60.08,54.82880466193251,59.01841887147403,49.54167737359413,53.11325205119024,64.06229671873585,58.457323295391184,55.850916448483005,45.87414689675556,53.18754329575903
1294,49.52,54.68269929261234,57.18722387767731,48.28500282779291,53.10301949759866,62.83351118958557,58.45731584540677,55.85068177397399,45.87442627117105,51.24623753233468
1295,49.66,54.58886673892764,56.82407811244634,47.98108071365496,53.186045848891965,61.53182383795958,58.457032745999065,55.85020497497155,45.874199046646446,51.44731261164791
1296,51.23,54.381038248743806,53.57827635327221,45.822350880122535,53.03897570659028,59.57606882976576,58.45656712197325,55.85002990033783,45.87440392121781,48.22916519461571
1297,43.73,54.17649520168621,51.950451033988,44.65334402590406,52.78357161594352,56.59276727139199,58.45668632172385,55.84972445097689,45.874497046022974,46.51802669963828
1298,44.08,53.811259715827326,46.66920923333608,41.130317171736806,52.38512037457823,52.73521749210942,58.45625422262789,55.84926255194327,45.87512284471369,41.050986012712464
1299,33.27,53.50711782714919,44.864186034783046,39.82097868611842,51.95258172953018,48.75993933413669,58.45590034836825,55.84867027818242,45.87532026930064,39.24966918140503
1300,35.91,53.28278017150563,44.70302424696372,39.599587499310296,51.46609774734589,46.58099024290674,58.45577742362544,55.84813015431246,45.875238319472096,39.33702024865021
1301,37.96,53.04411992082762,43.67378282532976,38.863260839843726,50.73898671859849,45.97173424258453,58.45544217432684,55.84808172941377,45.87550279391876,37.921862184426224
1302,35.66,52.71853325201598,40.6156834234471,36.83191828979322,50.05339445298606,45.11774997927973,58.45527454967755,55.84802957952288,45.87579334331088,35.357029975536115
1303,29.52,52.40565625661332,38.439699426013625,35.33942566236764,49.18642486684899,43.62286963184971,58.45480520065951,55.84767570526325,45.87600939285886,33.60147467348697
1304,28.27,52.25066678088036,39.7248850621643,36.0769331443637,48.274226425339165,43.2088181231231,58.45462640103359,55.84728085608935,45.87561081869276,35.7388193267612
1305,34.38,52.179206530388605,41.33845111128158,37.08675245663236,47.12583367799212,44.02800350923367,58.45377337781828,55.84732928098804,45.875182444588994,37.713474945411406
1306,36.65,52.15575397945574,42.997380115491055,38.16874349290424,45.94726849377146,45.03349810555045,58.45394100246757,55.84769805521649,45.87465349569565,40.07468418031896
1307,38.58,52.3480641521068,48.61501106235381,41.86900547626237,44.48217690901777,47.45636713645415,58.45449230131416,55.8480966293826,45.87429589644382,44.6806668437396
1308,50.36,52.47233361711178,49.57378680641518,42.596950903264045,43.328882071926806,50.15031130021784,58.45422410187528,55.84877830295641,45.87415434673997,45.35535978215548
1309,45.01,52.57094161080536,49.720145475205406,42.77703192650078,42.34771167471925,51.0452481278422,58.454928125402326,55.849299801865335,45.87410592184128,45.505503043027616
1310,44.07,52.86566671918518,54.13921920467459,45.745832090214186,41.45143757489272,52.70489605554755,58.455758798664405,55.8493333267952,45.87385262237123,49.14306223257175
1311,54.76,53.10683388961824,55.05228556936855,46.44937136827811,40.824711361121466,55.59757600351872,58.45545334930346,55.84969837603145,45.87392339722316,49.51699185024088
1312,51.06,53.14977932476833,51.80508321312473,44.39591726448912,40.455642858281976,56.38121006400934,58.45567684883586,55.85005597528328,45.87419159666204,46.55160750438094
1313,41.82,53.08732983042439,48.18376871459366,42.018124364277696,40.11037333065056,54.37520491094824,58.45583329850854,55.84966112610938,45.87465722068786,42.89537865389724
1314,37.24,53.07515283090096,47.41508677282041,41.44868108065982,39.87983728797519,51.71543755068026,58.45543099935022,55.84896082757454,45.87472054555538,42.028513367541954
1315,40.2,53.01621972920005,45.97878565283166,40.46210944475266,39.7230262910532,49.859005734683706,58.45533414955285,55.84858460336167,45.87481739535275,40.55518582501942
1316,37.7,52.99568012217276,46.80488089948551,40.93500838035942,39.51715342177784,49.30973700885687,58.45526709969313,55.84846912860326,45.875029719908525,40.3222583373474
1317,41.67,53.13931582165994,51.46069278365408,43.94003781827439,39.56522444620425,50.610697987002574,58.45515534992693,55.848554803424015,45.87443744614768,44.57980522976101
1318,52.07,53.30045898451824,54.58215802796352,46.07107605974282,39.62995736077085,52.96474033690459,58.45536022449829,55.84917315213031,45.874128271794525,47.05129658393769
1319,53.49,53.45972475130439,56.69713782802921,47.5448245263847,39.73846265875742,54.60360653308922,58.45571409875792,55.84990325060281,45.87424374655293,47.974491202441456
1320,54.5,53.39470128734567,52.47617780906901,44.886886137290176,40.03972512845985,53.80045351343593,58.456276572581125,55.85022732492479,45.87492169513453,43.3552773667029
1321,41.26,53.30456765092213,49.516399576480026,42.915501061797386,40.333794638211295,50.960854704409066,58.45652987205117,55.8498436507275,45.87558846873952,39.71547945684259
1322,39.61,53.24763114504398,47.977869770372855,41.85614680316512,40.78158712634545,48.15197218111797,58.4561499228461,55.84910610227059,45.875640618630406,38.56976125389989
1323,39.79,53.21160302042157,47.62372731130528,41.56077354614136,41.13216476787129,46.35121037364931,58.45595249825915,55.84873732804213,45.875640618630406,38.28729509487206
1324,40.99,53.02558063461528,44.35096405853965,39.40210703747645,41.37396146198727,44.36867267148991,58.45584819847736,55.848595778338286,45.87614721757051,34.833832470163394
1325,33.41,52.82008398955279,42.596455479300566,38.18271593867127,41.56728110752633,42.07333619876419,58.455945048274735,55.84829032897734,45.87656814168986,32.93987508267737
1326,33.48,52.624596398549485,41.4204717146791,37.3408006501159,41.76882553585759,40.76483583639229,58.45544217432684,55.8478731298502,45.87662029158075,32.30741238090793
1327,32.95,52.418675104375446,40.03639498542713,36.37786408975974,41.874213015367225,40.70142156906682,58.455114375012656,55.84767570526325,45.876478741876895,31.95397767035961
1328,31.13,52.29171619499729,40.70896840327743,36.74610936932157,41.75203327099016,41.95377139891617,58.45498772527763,55.84753043056719,45.87625896733671,33.25447674947169
1329,34.66,52.28249683928591,43.26546035461693,38.36905494881511,41.51728053713689,44.1639545497986,58.45445505139209,55.84757885546588,45.87569649351351,36.38279970443351
1330,40.08,52.51969316802671,50.032970320717176,42.83192341165751,41.22578872199242,47.798608245421576,58.455043600160735,55.848037029507296,45.874582720843726,43.74075073522034
1331,53.6,52.71968054961562,52.71518820901444,44.70933810875394,40.73557602260931,51.61602123367784,58.45499145026984,55.84897200255116,45.87440392121781,45.66117791732659
1332,50.84,53.02054072015973,57.02628931438259,47.650662729951335,40.440221390546576,53.85679029556882,58.45525964970872,55.849817575782055,45.87388242230889,49.76449150742519
1333,57.85,53.33151796953701,59.33911835051059,49.32070711090536,40.27725670649925,54.92222746647449,58.45568802381248,55.85034279968319,45.87350247310381,52.24153309998973
1334,57.74,53.52485996502931,58.052114918163085,48.613867489746376,40.03949790393524,55.22227558871756,58.456626721848544,55.85077489877916,45.874128271794525,49.94056816403981
1335,51.45,53.74761077399285,58.57978613917595,49.01598784843519,40.070467489141066,55.802148850513966,58.4575020950171,55.85069667394282,45.87464232071903,49.41668898509328
1336,54.45,53.89204734680446,57.34856446512255,48.2489151032952,40.43793052033951,56.75754975163615,58.45743132016518,55.85051042433248,45.87499246998646,47.99338063792121
1337,50.7,53.99723740172714,56.75933029791091,47.862640861453336,40.99486528012756,57.46552922041035,58.4577814694326,55.85038749958967,45.875040894885146,47.8361114669578
1338,50.89,54.027428463561776,55.48117744704633,47.01290681425629,41.56308676630167,57.9709585129575,58.45746112010283,55.8501789000261,45.87514891965913,46.86593724674418
1339,48.53,54.058040449515765,55.56532502099383,47.03654188980728,42.21381310486016,58.2337045632435,58.45686139635756,55.850015000369005,45.87478759541509,47.82115934824044
1340,50.45,54.18213483988703,58.25521266824451,48.77766284705578,42.79887900579259,59.00755679419954,58.45654477202,55.84997030046253,45.87408357188804,51.23268973567921
1341,56.96,54.42949294736749,63.01822610312734,52.11954705520741,43.21027832006809,61.12797135789469,58.45638087236291,55.85029809977671,45.87348757313498,55.4682144741673
