,Actual,Gru_predicted,gRU_biLSTM_1fea_predicted,cNN_1Fea_predicted,cNN_biLSTM_1fea-Copy1_predicted,vANILLA_LSTM_predicted,biLSTM_predicted,sEQ2SEQ_predicted,cNN_LSTM_1fea_predicted,sTACKED_LSTM_predicted
911,27.0,36.16005626124187,42.540240708765054,32.0371429233233,33.21559990395317,33.808316169281845,19.321806872944126,35.310928904476754,48.406770017152205,29.31881400971889
912,21.25,34.32220615071233,41.95801161964813,28.9389786149029,32.42556840894116,29.687384313222744,15.20960087588837,32.861288931015764,46.41634580344388,29.57628556089124
913,12.0,31.071820002554823,41.119668661373694,27.648883478546445,31.411495530313577,26.88369756440561,12.880108421917116,31.826918706266643,44.08810094916192,29.739497286126667
914,10.5,28.92686588968421,40.33432300401824,28.431743110050448,30.806328953967927,27.097783836382806,13.821855377968811,32.13785724294688,42.985692508416136,29.814575266840706
915,15.500001,28.764630227735104,39.748519908732575,28.976725844325703,30.69934544590566,27.7981220872618,15.255145603369254,32.5685506721558,42.84075077980714,29.818998741621417
916,17.25,30.445978130770005,39.36318039764029,31.24972771824796,31.115478652858368,29.710574989800183,17.556323048509842,33.673035999443165,43.46436715391091,29.735503132415506
917,21.75,35.38762693008144,39.84296320521203,40.148181130375775,33.41578828233273,37.55287288495732,27.21075949236453,40.68723226201061,47.059626550297416,29.6347576227997
918,43.0,45.08942445978819,41.92616113346266,54.209756137834994,39.86635202997542,51.55353200288141,44.53144283757376,60.7870099645145,55.35076678073183,29.61669861729719
919,73.5,54.23179094999441,44.59895632781874,54.0756795347554,46.925432526070594,59.15695492105836,49.80097734758013,67.78054744399161,63.216042526637054,29.67908777528895
920,68.0,56.12579405477467,46.82417146423024,42.79345207393955,48.832073081821214,54.67790691300951,41.7114051940052,56.93074170489543,64.92190025945028,29.916638094951967
921,42.5,50.459533851805794,48.18067192875472,34.15810275864014,46.225936404981866,46.91912113940711,32.56566651522702,44.78916757809481,61.78113042164053,30.29135466163101
922,27.5,42.022773051754974,48.601153387565695,30.88854393878689,42.78242182492186,40.80418372464924,26.70327997169049,38.44668265765337,57.61497307684457,30.68670616022987
923,22.25,35.70652074948634,48.34683019090339,30.83789139140161,40.115923339585855,36.80589825686931,23.66990645066374,35.792109757582665,54.08147720389976,31.06157867687008
924,20.5,33.36622554997015,47.79551221879412,31.568702264691577,37.998475130453286,34.39066267954599,22.914237153564613,34.7040450438529,51.431314935671786,31.410624045236496
925,20.0,33.350935114954616,46.80052578070729,30.96153769413764,36.09310786026792,31.66200437439641,21.063459708607496,33.49401645226223,49.05313306912046,31.61513865900922
926,16.25,34.44728902779647,45.68168571817136,33.0989273165392,34.37335039915163,32.006462979199256,21.75697835942017,34.06584643102781,47.765936767336186,31.685334488586182
927,21.5,34.459056828395184,44.47000222228694,31.734143157018902,33.14030359329351,30.438762234331787,19.729771971342817,33.34124053148664,46.65234396231698,31.67662697663709
928,16.75,33.23164256819313,43.14648609190085,31.589291328975754,32.4530156021056,29.456989344718902,17.618292058959177,32.981337376412526,45.44446197607407,31.576286936920305
929,16.5,31.651049348301164,42.14868154628056,31.069089960881787,32.0377777314005,28.975610343427043,17.101958249902015,32.87828564207695,44.59126524267534,31.51306115325455
930,16.75,29.93752621622049,41.19295046547624,29.40307102167636,31.76780266275385,27.07877078405907,15.340767636163235,32.0923418707528,43.42222397028878,31.39245128799761
931,12.25,28.38906969656036,40.15334766085378,28.344622122923887,31.33190050484213,25.214853178845026,13.547121083448594,31.485509381880863,41.94653370250664,31.17426444939458
932,10.0,27.344788393103062,39.269878287935455,27.767137582037133,30.58192796808897,24.16394858880192,13.342320255629508,31.236169245154027,40.72458686447237,30.92327124307944
933,10.0,26.99478530850457,38.32584528892368,27.36300334856674,29.94911605039293,23.99427136164727,13.218551027629976,31.28261664770422,40.02627596308848,30.549083071562915
934,11.25,27.637521147846755,37.548726450695845,27.664395912918454,29.918731493842383,25.32723255556348,14.20662796508464,31.86682354926976,40.17992153423572,30.13595511209706
935,15.500001,28.73839394015145,37.05795008821493,27.831994418826092,30.51207889783741,26.41257823585276,14.829837034583967,32.31797394397223,40.74459983125297,29.754848266421245
936,16.5,29.341879926327405,36.87632158991903,27.87570444088155,31.35294824548267,26.340250478571445,14.914112393595683,32.215131366055154,40.9523765512721,29.43700940263597
937,14.5,29.332818316231204,36.899868199349,29.26972463135608,32.46108830597749,26.390031540879644,15.784977340241303,32.20839432773297,40.9608749068027,29.128101884861685
938,14.75,30.25074712644996,37.26182255508875,34.91360876695641,34.73097118067651,29.42330782251885,20.31517877025658,33.88557561474672,42.14848706750546,28.79788059416018
939,23.75,32.82873758735778,38.19324011959527,40.08942652383179,38.1210811552131,33.68664951369986,26.556496198834367,36.83423344745965,44.70154938579796,28.49400750807328
940,31.250002,34.28220223361625,39.19216383552508,35.664792209290354,38.86942814295933,32.46379633118543,26.65007901846929,35.21554623881948,45.68298835902341,28.20238291540655
