,Actual,Gru_predicted,cNN_1Fea_predicted,cNN_LSTM_1fea_predicted,biLSTM_predicted,gRU_biLSTM_1fea_predicted,sEQ2SEQ_predicted,cNN_biLSTM_1fea-Copy1_predicted,vANILLA_LSTM_predicted,sTACKED_LSTM_predicted
529,25.35,48.82011847450111,36.966326733422605,40.04708439862082,27.92921880662082,36.30979221456512,30.98787111272997,16.490585172280827,31.6913562931204,53.44880241396489
530,23.85,45.99823506657059,35.9070929766906,37.86821215694364,26.73200213241209,34.685610482310736,30.287859676615824,15.97334055537392,29.54196521206906,53.01012173605724
531,22.33,44.40010799106842,37.34799139466857,36.5960407104996,28.935360649472862,33.68820496459234,30.84032988711316,16.44562175702017,30.44838256488617,52.31915841173436
532,28.82,43.2040754762866,38.807946591083336,35.84587571355152,28.04840004383516,32.76857289646853,30.48795112616199,17.646296428704293,29.373354766861723,51.35130334056571
533,24.25,43.93735675332066,41.70837819121222,36.2788812444185,35.3320040613952,33.51693331003463,33.420629025152955,18.887840347417733,34.16643215825456,50.37784240828029
534,40.05,44.9902130556923,42.93298485088862,37.38910629179176,37.12202165254015,34.300352401101726,33.78992929834027,19.65631887380061,34.77432165980336,49.10085244076398
535,33.15,45.70082208880527,42.28363717195723,37.68597757960647,35.740548511760004,33.91214022004579,33.26217526651953,19.64465679306165,34.224194573278425,47.347364278323134
536,30.48,46.14529444008018,42.38431591812608,37.50048026512495,35.05500838566356,33.58769628387309,33.164721465172896,19.706381103189376,34.147825738323206,45.677510524768046
537,31.199999,46.77195097892941,43.46422522442636,37.67006071326709,36.6782831021867,33.839487630100564,34.110168838675406,19.7995927163763,35.39075222615477,44.192691129748326
538,34.87,47.20080250372166,44.32929147810693,37.96506757985646,36.65910034934278,33.98407160651028,33.95988766970377,19.924515237195045,35.28650210554412,42.73606795640183
539,32.38,48.550759997201006,47.605819670687154,38.89508623784716,40.09990861688565,34.10703522529834,36.86569522765642,21.04272076325925,38.90159596533499,41.28498450760837
540,42.9,50.33565987805677,51.25424950796168,40.52859637494865,42.51941717103998,34.91559250930587,38.70913541550001,22.9246240869562,41.2129649390589,40.16887645542268
541,43.05,52.412895968071,52.74319456481452,42.217806096157446,45.33340828236455,35.94774491786764,40.84104439820353,23.67486466854854,43.62924539903082,39.20207012119329
542,45.8,57.65091811476544,59.87434120551996,46.14514012143145,59.838180251956686,38.42844239091945,53.92237800264428,26.289016279141176,55.57451345583819,38.39028789236353
