,Gru_actual,Gru_predicted
559,101.97,123.59131440462106
560,97.88,124.99064035690176
561,89.41,126.45883740439534
562,94.16,127.72003374771381
563,101.06,128.14231995245916
564,105.26,128.0488328794679
565,114.97,127.27031533044426
566,122.69,125.98839209542498
567,127.880005,124.73128599780878
568,109.06,123.50663365297788
569,81.13,122.75378258199495
570,59.65,122.90635843215338
571,55.62,125.03985741174559
572,53.36,127.07533950161248
573,47.71,127.65037291471508
574,43.23,127.06079640578216
575,47.53,126.68507492897714
576,62.1,126.32170614320016
577,74.58,125.70551696095478
578,86.59,125.3364710035473
579,85.99,124.8547160534548
580,92.13,124.0932598207485
581,102.59,123.1209957517107
582,116.34,122.05119161576172
583,132.76,121.27225684677573
584,139.31,120.65186566348102
585,137.26,120.46468290751733
586,108.033745,120.61735561230988
587,105.36,120.99742064693716
588,81.16,120.33765432969608
589,66.27,120.81806076526743
590,70.37,121.35238543061547
591,61.85,121.81543253561067
592,76.88,122.65154879050739
593,106.45,123.56339046856979
594,187.17,124.38239325465388
595,147.71,124.56640215876116
596,92.29,124.8919082329553
597,74.04,124.69642577988353
598,108.48,124.51708824928322
599,98.72,124.54689712552151
600,82.72,124.73441514752638
601,97.72,125.05584587673117
602,82.76,125.30589474059256
603,68.31,125.43205907706323
604,59.37,125.6399240225889
605,52.72,125.86525260368131
606,62.549995,126.0683493210659
607,57.83,126.23304690120176
608,72.35,126.35784037208187
609,77.93,126.44798968537435
610,82.8,126.51088559469792
611,26.79,126.06578639844005
612,108.033745,125.66890590925897
613,83.47,125.23249382864564
614,83.47,124.32657518397724
615,108.033745,123.23310871587809
616,108.033745,122.21699929901168
617,108.033745,121.08397888841088
618,83.47,119.94962486400189
619,108.033745,119.1493373733716
620,78.75,118.58350515051
621,91.49,118.12436203230533
622,99.8,117.53374247346655
623,102.62,116.95315854479347
624,107.06,116.70751284160612
625,102.47,116.8710481661326
626,99.88,117.25603043603037
627,108.033745,117.72731018492541
628,108.033745,118.19878364308869
629,108.033745,119.51115648500273
630,108.033745,121.06719323528296
631,108.033745,121.15630694902606
632,108.033745,120.63594425170366
633,108.033745,120.05289425503885
634,82.93,119.87120241179389
635,95.28,120.19024157657168
636,88.53,120.70464398871772
637,62.32,121.21941891868728
638,58.45,121.82927529793277
639,59.1,122.39063730691208
640,43.82,122.60201882069181
641,39.15,122.47420795544116
642,48.6,122.1417730497295
643,46.77,121.75541246388468
644,43.04,121.41164556598146
645,31.0,120.99224264919019
646,31.2,120.35014857749704
647,44.15,119.63612131408165
648,55.02,119.15327861194446
649,57.64,119.10067909526305
650,59.82,119.42774229395953
651,61.34,119.88917267160063
652,108.033745,120.19464473724572
653,108.033745,120.63766528404834
654,38.14,121.33802114334044
655,45.4,121.88406521941648
656,51.98,122.10905853446774
657,68.79,122.03168658252207
658,82.67,121.76363765742806
659,82.68,122.26441336758964
660,82.13,122.261552430705
661,91.01,121.5083139411856
662,90.31,120.6028497682619
663,77.47,120.22983277085567
664,70.29,120.32576356076925
665,66.95,120.59446066687617
666,66.46,120.87030266483826
667,66.94,121.03646051484233
668,59.46,120.94807693603333
669,47.14,120.6341189143684
670,44.69,120.28615001541584
