,Unnamed: 0,_actual,Gru_predicted,cNN_1Fea_predicted
307,307,69.78,48.49788613240112,45.01223957502728
308,308,67.82,48.47180373697039,43.9688022080939
309,309,71.52,48.4316259710298,43.30218132778977
310,310,68.08,48.363428813711046,42.72316481420088
311,311,66.35,48.33608737091447,42.64451532875035
312,312,70.05,48.26388212198139,42.30872963127699
313,313,63.62,48.11794437731052,41.1589660867979
314,314,59.3,48.13237872211116,41.23186418428142
315,315,74.3,48.46119495916594,44.559824371564716
316,316,93.33,48.90090048921952,49.575712627386004
317,317,94.08,49.33743232591307,54.23644522625952
318,318,97.4,49.7259937129698,57.93872988038584
319,319,99.0,49.90928567948863,59.521799418307545
320,320,88.05,49.881206688235146,58.73036522413627
321,321,80.95,49.662281446267805,55.908791652397234
322,322,71.18,49.32183950853617,51.655170901769395
323,323,65.0,49.03850542632419,47.833161273130166
324,324,69.5,48.97507998402211,46.23053552612372
325,325,81.42,49.14044728804271,47.444968660301896
326,326,91.1,49.452873559388365,50.960158130866425
327,327,97.72,49.84347251718211,55.647278574531626
328,328,103.73,50.23140810554812,60.331769173698945
329,329,105.9,50.4499012484195,63.44728560545441
330,330,96.57,50.42595327352315,63.578986429911595
331,331,85.93,50.1807929114446,60.43255628783341
332,332,75.55,49.77826280361305,54.96617119953596
333,333,66.78,49.30808683730933,48.93073022681012
334,334,61.17,48.84747665099221,43.77410431543839
335,335,58.08,48.46191760765402,40.54158960346527
336,336,58.25,48.16398528098431,39.36054729942721
337,337,58.1,47.92193901239049,39.11325996679868
338,338,56.42,47.78371945157173,39.6780544601427
339,339,61.12,47.75491781183016,41.170643937365654
340,340,64.65,47.77399722191245,42.532899662271255
341,341,64.67,47.80277651170079,43.18329820151556
342,342,64.6,47.79379183049842,43.13675442389387
343,343,61.57,47.75340174000206,42.75981128752959
344,344,60.65,47.72652219623911,42.758254240787224
345,345,62.25,47.6931946909665,43.033352365230364
346,346,60.38,47.61825529775376,42.980703325382024
347,347,56.9,47.4741800491862,42.06055202551107
348,348,51.8,47.32531818563312,40.62664607551118
349,349,52.6,47.1977595525097,39.17952757815441
350,350,52.05,47.12892169653141,37.94808240456861
351,351,54.9,47.15666543848629,37.416660116403676
352,352,59.83,47.25420435941658,37.62243241088946
353,353,62.43,47.45475048983648,38.92019362072968
354,354,70.4,47.79473425352669,41.88169279971811
355,355,80.6,48.20748201498099,45.845237232239995
356,356,85.52,48.65027183858165,49.99131745786277
357,357,91.07,49.01773114478789,53.27156794496371
358,358,88.72,49.196523320721134,54.39081262829397
359,359,80.55,49.12713416589625,52.882742083460315
360,360,68.82,48.85553753412733,49.12089852894238
361,361,59.98,48.58587417331364,44.97776104716282
362,362,63.73,48.44149720037734,42.258296961791594
363,363,69.12,48.38014657873435,40.94118069244578
364,364,69.15,48.314378116334304,40.22634723801141
365,365,65.62,48.15237075528408,39.19621554324006
366,366,57.6,47.917528621617855,37.74523050397282
367,367,54.0,47.57829730635337,35.61381231329931
368,368,44.35,47.17526804956614,32.69494939510783
369,369,39.3,46.72234997215568,29.247610657586844
370,370,31.77,46.24433289725703,25.449385104186867
371,371,26.3,45.8011109745604,22.07768978340567
372,372,24.3,45.40393368052977,19.745483337818843
373,373,21.38,45.0783842616402,18.610493112431207
374,374,21.4,44.80254858874014,18.354489298039187
375,375,19.02,44.53095568196343,18.28495859351046
376,376,14.82,44.26377316595934,18.003596894671887
377,377,12.35,44.01805778004201,17.457161025418184
378,378,10.92,43.80800919450303,16.48133226703491
379,379,10.25,43.67010998301404,15.20886934176594
380,380,12.65,43.6140823752343,14.183224400107466
381,381,15.12,43.55556647266054,13.506037579409268
382,382,11.22,43.92300342891353,15.945104738923444
383,383,49.01,44.23936329202938,19.429805148276806
384,384,27.3,44.45966305612097,21.144910759954286
385,385,32.35,44.42383608107772,20.45323185707624
386,386,13.47,44.41579009791142,18.70500175220141
387,387,28.8,44.50164371828955,18.066163726270343
388,388,30.62,44.66499580152636,18.041742677363757
389,389,36.0,44.90908336584941,18.630626695307978
390,390,41.23,45.09209968294496,18.946163335146164
391,391,36.2,45.1683912483287,18.56901718670662
392,392,32.88,45.203670649517576,18.25339300955158
393,393,34.3,45.20099238012102,18.186983848491995
394,394,32.17,45.18363764143039,17.840041799359813
395,395,32.35,45.09716939733817,16.650025989096015
396,396,26.15,44.977712622264136,14.746262559626066
397,397,25.67,44.81700900848623,12.969416133371949
398,398,21.15,44.66787149550987,11.76615518206947
399,399,22.3,44.53642397052274,10.866129083842823
400,400,20.8,44.44234184236019,10.610191388062471
401,401,22.18,44.44416336354923,11.47377216253957
402,402,27.7,44.4997067223421,13.149124657388022
403,403,28.35,44.5667975569755,14.757479442408245
404,404,28.7,44.66330093007235,15.995548583385464
405,405,31.919998,44.80395291080203,17.118551783852205
406,406,35.6,44.99241144151145,18.58914518209508
407,407,39.7,45.24943962876029,20.949043219745903
408,408,46.0,45.55342879275796,23.893843258672074
409,409,50.3,45.84288676215762,26.48432203890475
410,410,51.12,46.211996239911386,29.24702955880261
411,411,62.65,46.77560991072591,33.60955045659092
412,412,79.65,47.34192420089023,38.31945295259179
413,413,78.22,47.77839271271626,41.53679949629957
414,414,75.82,48.09393307754665,43.19699499785929
415,415,75.87,48.28552805169405,43.42205157699873
416,416,73.08,48.33331225172054,42.27567032544326
417,417,67.3,48.29024761681983,40.21538086095512
418,418,65.3,48.18469623765311,37.68557102879163
419,419,61.92,48.01402454473029,34.92088181303985
420,420,57.18,47.84320385211921,32.66280643735692
421,421,57.62,47.71251995053443,31.558763447221867
422,422,58.4,47.60361607838176,31.422823581633555
423,423,57.12,47.57871450548051,32.268553262208485
424,424,62.679996,47.68882155011593,34.37980062008315
425,425,70.3,47.84064850746547,37.11574407097647
426,426,69.93,47.99918417577912,39.89193606266228
427,427,71.93,48.04927787097372,41.49573145722161
428,428,64.08,47.96184485389998,41.17548270224205
429,429,58.2,47.78319050267839,39.82756819733193
430,430,54.1,47.51332599228554,37.69865320142127
431,431,46.98,47.21594868945461,35.240918243463625
432,432,44.83,46.965230639003785,33.25877911547033
433,433,45.6,46.82783057647048,32.19111812421732
434,434,50.28,46.846507687394464,32.586157272721344
435,435,57.5,47.02641736098969,34.822095019720344
436,436,65.78,47.27352589399231,37.99449953245527
437,437,67.83,47.61755872421112,41.690168600422645
438,438,77.92,48.11676727977322,46.54248127347473
439,439,91.2,48.61285801685838,51.29119818826856
440,440,90.55,48.91553225860712,53.7007540970258
441,441,81.4,49.02793762343402,53.51426236220148
442,442,77.08,49.0279301734496,51.946517442217804
443,443,75.17,48.90601490351921,49.41704285935291
444,444,67.83,48.78970202186757,47.04450219815282
445,445,71.58,48.650350063418,45.020758632203815
446,446,66.2,48.47008279057093,42.65208078792199
447,447,62.85,48.33587132136648,40.86633814903042
448,448,66.12,48.218522891881406,39.780994619772585
449,449,63.55,48.05059651821486,38.63323139610846
450,450,57.78,47.84360615127752,37.20493155937952
451,451,54.88,47.65726714113367,35.77825209426046
452,452,55.52,47.47235107801274,34.55486407881757
453,453,52.1,47.298446091854586,33.757890821235065
454,454,51.25,47.059659191441554,32.71557840194808
455,455,42.83,46.79253255032057,31.245845476904933
456,456,41.12,46.65377286563185,30.96553608836473
457,457,49.5,46.73793161455597,33.07375875256763
458,458,61.1,46.993976403862256,37.026943981762905
459,459,68.07,47.38579343410756,41.93420773984701
460,460,77.33,47.87774197985897,47.078418252194076
461,461,85.85,48.40895194346812,51.812853546867736
462,462,91.83,49.03194199005613,56.93440493162195
463,463,105.17,49.666386387679495,62.137727345295836
464,464,109.1,50.04752014027622,64.48984387422703
465,465,95.05,50.02315124126053,62.20364108239194
466,466,76.05,49.63283910786669,55.926191090994344
467,467,59.85,49.01003903588122,47.51310994273756
468,468,47.83,48.3199544296676,39.031302688268674
469,469,41.78,47.79587410114192,32.58644037212905
470,470,49.01,47.43972014628277,28.715614720622092
471,471,49.01,47.19274198800738,26.994459721601068
472,472,49.01,46.99508645153984,26.91087462147677
473,473,46.95,46.75774857309517,27.166383011905307
474,474,40.33,46.50709012251965,27.239642433632863
475,475,38.88,46.38578575131114,27.959135853317722
476,476,47.25,46.4303441080867,29.846280230057847
477,477,53.97,46.53494188924853,32.19770391043861
478,478,53.48,46.55351470039073,33.6448298577798
479,479,46.1,46.44320278118395,33.45818912326721
480,480,39.75,46.27827875123594,32.57918408731056
481,481,38.7,46.18401037346306,32.48194689074901
482,482,44.1,46.21485330893386,33.565707298319026
483,483,49.95,46.319290915430805,34.91884796729504
484,484,51.7,46.48644249071837,35.94694954131377
485,485,56.35,46.62891226764488,36.04468216183881
486,486,53.8,46.771337344664914,35.650037862508675
487,487,57.63,46.80349892737685,34.75973865018156
488,488,48.9,46.71591318562265,32.9377555621118
489,489,44.55,46.48878923580854,30.09610055738688
490,490,35.15,46.132706055801314,26.279998766387347
491,491,26.95,45.78006476859301,22.574387694220512
492,492,27.45,45.51884969010393,19.80875233044825
493,493,29.77,45.32834986366529,18.05687359570704
494,494,28.88,45.23046824345199,17.533292416137037
495,495,32.55,45.17035431922159,18.032921895818486
496,496,30.97,45.106630877542976,18.966930166698056
497,497,29.52,44.989930596701846,19.473940718436918
498,498,24.5,44.90605494718543,19.41774921100009
499,499,28.65,44.897152215811616,19.352790934404982
500,500,31.72,44.90653919617229,19.3052954212745
501,501,30.33,44.89407909724115,19.113903459202373
502,502,28.4,44.896258217682025,19.192705669333375
503,503,30.7,44.96756946848552,19.991444573221823
504,504,35.77,45.09568312544773,21.431489310378225
505,505,38.5,45.24133032072648,22.938289632869424
506,506,39.65,45.41826745054083,24.365088297739092
507,507,43.8,45.56954310904379,25.360808514505703
508,508,42.2,45.7352568373396,25.921680591056155
509,509,47.0,45.94542462262919,26.717081901927475
510,510,51.45,46.14747564990056,27.589292552099256
511,511,51.47,46.270884641705806,27.837913431937757
512,512,47.75,46.33055156687141,27.522611466608588
513,513,47.22,46.19412372730403,25.898965588580197
514,514,32.73,45.92953753086796,23.087691620292453
515,515,29.0,45.666482306228815,20.288121577517902
516,516,29.3,45.41725052766843,17.74744594308771
517,517,26.42,45.1996849078565,15.730096326261359
518,518,25.73,44.98302446115078,14.16733078960988
519,519,21.87,44.73405343204485,12.73535904181327
520,520,17.08,44.49363871003753,11.692477629966724
521,521,16.45,44.30486355499055,11.192503588506163
522,522,17.38,44.168592165095845,11.14113873972106
523,523,17.53,44.07903962745655,11.402195506041355
524,524,18.13,43.9905859625182,11.590029169308114
525,525,15.5,43.927600069296496,11.682367069869912
526,526,17.27,43.97151772741252,12.432228488519225
527,527,24.5,44.0564996996143,13.72334524351089
528,528,23.83,44.19378801238141,15.28051677311608
529,529,28.88,44.43389728502779,17.410056636469395
530,530,37.0,44.7436527369613,20.155310705383148
531,531,41.75,44.99652755789977,22.262363722033164
532,532,38.2,45.18496746364815,23.150759463342702
533,533,39.0,45.43145019796005,24.024374435576377
534,534,48.35,45.718155398119016,25.312368715850845
535,535,51.23,45.89498822815158,25.805851958391372
536,536,43.93,45.92056029965001,24.930493689804997
537,537,38.33,45.999258209999226,24.247251894274942
538,538,49.01,46.11795881165531,24.378770194114
539,539,49.01,46.22801743139205,24.639452598717533
540,540,49.01,46.31950696497879,24.959794478502253
541,541,49.01,46.095940382722,23.064715868362036
542,542,23.45,45.67678563467232,19.04155666056544
543,543,19.08,45.24407563998276,15.048542883448953
544,544,17.65,44.89533069462258,12.168889233224323
545,545,19.38,44.64482496872753,10.619451718688122
546,546,19.52,44.48877759520789,9.897657185067624
547,547,21.42,44.38506636219124,9.833849931064362
548,548,20.73,44.361032712474135,11.017670148040503
549,549,25.3,44.33451076796302,12.77777645931808
550,550,21.38,44.29491410080667,14.135133819471978
551,551,21.3,44.22706336776312,14.693986018998391
552,552,18.48,44.16009545787255,14.538750693779798
553,553,19.23,44.21239807344567,14.902597688793664
554,554,28.27,44.434232534326384,16.6757396102983
555,555,38.02,44.77599311929916,19.566411787470106
556,556,44.5,45.12880575614897,22.48104683950708
557,557,45.6,45.47579623017984,25.11661292540866
558,558,50.0,45.81513557021832,28.062135612822914
559,559,53.5,46.10528266317619,30.511776162715574
560,560,53.52,46.30832081338232,31.35058853276282
561,561,51.42,46.41423724178529,30.482832973270153
562,562,48.78,46.40819902941836,28.177282571913885
563,563,43.8,46.39331768555292,25.91223401082017
564,564,47.27,46.39884929897975,24.762012292299673
565,565,47.83,46.40902597768823,24.38403360810195
566,566,47.6,46.49049155724696,24.99407558177976
567,567,53.85,46.593983015723424,26.21031161218594
568,568,53.32,46.76063171706309,28.050819086499207
569,569,60.17,46.99030728653874,30.71569341108246
570,570,64.42,47.17972314024526,32.913893262036204
571,571,61.62,47.24807302224449,33.62505759914707
572,572,55.75,47.15237797245648,32.61321189111801
573,573,47.38,47.00776260001895,31.012120840900693
574,574,48.45,46.857935963484366,29.7322731185821
575,575,46.55,46.70442903464964,28.59619519547013
576,576,44.58,46.62249410607288,28.052960957018012
577,577,49.02,46.64461310979578,28.61341955943353
578,578,53.73,46.87288063221732,31.231180182587476
579,579,68.12,47.264906262026194,35.89646472193748
580,580,76.2,47.89897443543669,42.523698931520904
581,581,96.88,48.58288672956394,49.633233957040595
582,582,98.23,49.12027273025166,54.65142053305337
583,583,94.47,49.42456734361028,56.74410997975467
584,584,87.03,49.59647573394569,56.917124692775445
585,585,88.53,49.57195038525732,55.23640448415726
