,Actual,Gru_predicted,cNN_1Fea_predicted,cNN_LSTM_1fea_predicted,cNN_biLSTM_1fea-Copy1_predicted,biLSTM_predicted,vANILLA_LSTM_predicted,sEQ2SEQ_predicted,gRU_biLSTM_1fea_predicted,sTACKED_LSTM_predicted
514,356.37,146.552425255284,90.30515525395433,65.3505996514626,175.7942619759183,174.85295424486046,180.46455292074543,195.6377326798565,116.55895038982216,118.90340871347983
515,68.75484,145.00243415523144,87.3376607297464,65.34142301590262,161.55787332255034,137.2320749793408,147.76728275698753,157.91381700319,119.75196790216307,118.385143881737
516,81.64,135.68357508256676,82.98138278298724,65.3503917433132,140.94671970004768,118.9854392322902,129.4398209245438,136.5692924760214,118.5332461765792,117.4399145728266
517,87.64,124.08519672132434,79.87619570990047,65.35400504356494,127.2270186441857,107.72081797406278,116.59869669259132,121.54989305500526,114.8871107757248,116.45193504685048
518,84.59,112.34443712397162,76.8439342125294,65.35484384540909,116.4125543756544,95.3208461581632,103.02500451158444,105.9741457646724,109.39249269548996,115.3566175618087
519,69.89,101.25425797234216,74.00957259640649,65.35465027575275,106.55463965630632,83.85609538301644,90.35374123769648,91.70655655040052,102.6772171931078,114.31512677972344
520,58.78,91.42677670451916,71.9451737192449,65.3546861219854,97.6637989400493,76.29451183536183,80.91127718558681,81.2477586022837,95.60836162105176,113.45772074082063
521,55.07,83.61072075123846,70.882648367837,65.35513778451687,90.60285104691722,74.30150431515828,76.40038726813509,76.48114883030942,88.95352286692791,112.5890589848638
522,59.54,77.90647390243036,70.23565254537937,65.35558944704833,85.70467843184831,73.45667313467128,74.12697617760195,74.302242747551,82.69788209815617,111.33798244968447
523,61.64,73.81420345918386,68.88784853600065,65.35561812403446,82.02436006353297,72.10523431730122,72.00751748708052,72.28020694814249,77.21115735835221,109.9239130946176
524,60.11,70.53780044043818,66.9383870192278,65.35533135417322,78.60966227919981,68.67019021131242,68.7346632453678,68.88541816142656,72.1930289103227,108.23435827234152
525,54.91,67.39684599640708,65.3438748982163,65.35492987636746,75.00876482395748,63.24935084713049,64.24672208606255,64.05906705810753,67.41203762980678,106.2645647724061
526,48.21,63.60116728215768,64.2159301722109,65.35439218287762,71.31476753326055,55.15822524293944,56.84704163282278,55.947021592538334,62.96493966798995,104.30016254586218
527,35.41,59.32487661894749,62.93820554767498,65.35399070507187,67.82371727336975,48.4858182501908,50.65131067268928,49.35221452424376,58.54714241674628,102.04633066760584
528,31.05,55.83323131159461,61.5247599170563,65.35442802911028,65.29218463072611,50.69737666627572,50.027320962350366,48.84460319284635,55.86762935645147,100.13721767031078
529,40.34,53.896366160977145,60.38337285380484,65.35519513848912,65.00998874876373,54.601493818933285,52.44742200615905,51.64757426303226,53.60029061773029,97.5108287268124
