,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,_actual,Gru_predicted,cNN_biLSTM_1fea-Copy1_predicted,cNN_LSTM_1fea_predicted,gRU_biLSTM_1fea_predicted,cNN_1Fea_predicted,biLSTM_predicted,vANILLA_LSTM_predicted,sEQ2SEQ_predicted
74,74,74,74,74,74,74,74,134.34,124.18464037177384,110.4100318515819,115.16263635318214,85.42877290312698,90.05670817966036,127.1877563342054,128.90489314987593,127.31707383821833
75,75,75,75,75,75,75,75,99.44,107.97868399617904,101.73243997573437,109.09282580523436,85.37890819276623,81.30473639151042,103.98077674596496,106.0021523576549,102.49142049698268
76,76,76,76,76,76,76,76,73.76,98.70742346826836,96.17248752468556,104.12952912140474,85.34910408369043,107.55626419778837,103.87112503749316,102.50502267223196,104.26879126066292
77,77,77,77,77,77,77,77,99.36,95.6341885159017,92.77912470740203,101.0787757489408,85.33406421960045,120.42952375567808,104.57250861513388,99.05640194914383,103.36334525762297
78,78,78,78,78,78,78,78,95.31,97.4971054901859,90.17654289665668,99.5288503395248,85.33355767638197,133.96561746244893,112.8706698236771,103.6926281462974,112.10537241052768
79,79,79,79,79,79,79,79,114.14,102.95970480414108,90.40759364677014,99.64169773977204,85.338556066082,152.1499677678123,122.03516891912732,114.88627978167428,127.64205110953566
80,80,80,80,80,80,80,80,139.11,105.92055420448912,90.36469390566354,99.9635910567886,85.32978839890325,134.20801329082343,109.0677221192595,108.96973580314278,118.36950932524881
81,81,81,81,81,81,81,81,105.14,103.96033623726616,87.9360798938075,98.90695680136116,85.3190169063455,116.71967571515184,97.01077185628652,99.71091538074486,106.01357937673069
82,82,82,82,82,82,82,82,87.92,99.64426025252436,85.65842321022463,97.31002716093585,85.30826031211768,114.27453945537523,92.23062779176372,96.72520066770124,103.47194663383291
83,83,83,83,83,83,83,83,93.72,95.60405664356688,84.43611952569304,96.08431920800945,85.3013400378534,110.36959033491794,89.80650562638922,93.99287675053922,100.96157803634657
84,84,84,84,84,84,84,84,90.62,93.34406937931114,84.11769751955609,95.13966080052684,85.29411434782503,104.36708299254371,87.80764139126192,92.05315888533488,99.3424796809476
85,85,85,85,85,85,85,85,89.39,89.98798963274103,83.02006306009136,93.57763049802207,85.27844875387692,77.45695216309201,75.33656225051844,79.16245338306737,82.7230648524303
86,86,86,86,86,86,86,86,55.76,86.45682471253498,82.15565450691358,91.53944957014244,85.26730480307026,67.54251583267639,75.49847730047382,75.2507776666352,79.86927485114182
87,87,87,87,87,87,87,87,64.55,84.94994802752512,84.03660590960881,90.4116161958581,85.26758787133942,74.6162726921643,85.882151431165,79.0360485025607,86.58208987080005
88,88,88,88,88,88,88,88,81.48,84.46348030865614,86.67097330731401,89.9687931345935,85.27120816551859,72.22746701794911,90.68564117872792,76.79549610973179,83.90277421161937
89,89,89,89,89,89,89,89,69.4,85.30637567337833,88.67462735552199,89.70546515263165,85.28325346528753,80.06978402484668,102.5910754260544,79.33589974040824,87.7815842121699
90,90,90,90,90,90,90,90,80.15,88.91332839806755,91.10698084819684,90.3958165169404,85.30744835313511,103.10101546376814,122.04687900647228,90.21200837111552,102.41219117827981
91,91,91,91,91,91,91,91,107.28,95.2614546479123,94.04838792795309,92.40121366975316,85.33475699194338,126.05320381311115,139.188703774876,102.87006155279938,117.91776216434091
92,92,92,92,92,92,92,92,126.600006,105.39175288105184,97.98090640799286,95.9092638310334,85.36645318892351,159.98096204394378,160.71899551327482,124.36309256797972,143.91080394589252
93,93,93,93,93,93,93,93,168.75,117.29084043981732,102.50858337309133,100.66250151165671,85.39924441315536,178.1432181259833,174.61642586561916,142.42398041300265,163.0821388141418
94,94,94,94,94,94,94,94,186.38,128.17217838433896,106.63363297114483,105.52747666694562,85.42157700975852,183.007612246404,179.28122705962718,155.87857280575244,175.8684815150717
95,95,95,95,95,95,95,95,196.56,131.70686675957947,107.41293481445236,108.40456020711936,85.41873887790202,142.0928948264036,159.12529136128484,146.83492896290048,159.55476551890942
96,96,96,96,96,96,96,96,149.78,124.10810765079292,102.6377220971448,107.3306662364386,85.38886772634142,87.90969495145647,124.3734916022886,121.25321517308775,124.98120937949969
97,97,97,97,97,97,97,97,90.59,111.0967554725465,96.61121354521242,103.81044413958476,85.35632232455383,73.50243629887306,106.13166353995726,106.725794040249,108.72354090062966
98,98,98,98,98,98,98,98,88.46,98.08558207425956,91.58332515186112,100.06920531784247,85.32544553572124,69.27574284469875,91.32361746407844,92.44471679322294,93.1605889967453
99,99,99,99,99,99,99,99,70.25,91.17059671710643,88.50276767032138,97.28783609846724,85.31301287937346,90.83599512463792,95.71007315952956,92.02100828929112,96.66162949378152
100,100,100,100,100,100,100,100,91.22,90.75341368169508,87.78879500386833,95.93436751700824,85.3069492590816,108.43329163643838,99.53079457158395,93.69550608462926,101.02867266530076
101,101,101,101,101,101,101,101,96.86,95.30220158034037,88.11432351339401,95.89502102759602,85.3146367973386,124.38707887920796,110.91317825083595,101.75204617795566,112.79220031980196
102,102,102,102,102,102,102,102,117.39,101.531759471235,89.44229360313433,96.8843818741098,85.32683852957209,131.23736078936474,119.4754123578388,109.51587878264814,122.44396419477378
103,103,103,103,103,103,103,103,127.19001,110.11269098233186,93.53272693153647,99.32755900349729,85.34691402918699,159.03375602203883,137.13003764330767,129.2444856828795,147.0440419221546
104,104,104,104,104,104,104,104,171.65,116.01777814512766,97.15095024283696,102.06136530448984,85.35886993897621,146.1971463558394,133.9806498773739,129.6075281872329,143.84076689677215
105,105,105,105,105,105,105,105,141.97,114.46263087106227,95.69159923038488,102.34095481359805,85.3513239348538,110.38889112137518,115.16222664910836,113.88143212117184,121.19406880316478
106,106,106,106,106,106,106,106,96.49,111.10764615174392,93.702947800442,101.47705280363871,85.3500203309827,120.65065221804124,119.75202965012087,118.2766331363068,128.44000566194734
107,107,107,107,107,107,107,107,133.13,105.49094596189497,91.99746892796156,100.5027765162048,85.3360829433094,101.39515668387384,104.2827658941611,105.54520567959256,111.35589702379089
108,108,108,108,108,108,108,108,90.09,100.2185461773155,89.62346474455707,98.81680700680096,85.31949365290406,97.63136923974405,96.4383482227398,99.39760350178264,104.93710054580265
109,109,109,109,109,109,109,109,92.21,95.29017862806631,87.15919157995276,96.77097578648925,85.30492308620768,86.086295797379,89.00859576896741,90.21591173356386,94.33740063075804
110,110,110,110,110,110,110,110,75.61,89.98229102153309,84.21762061856703,94.36791241050672,85.28758887930455,70.34292511773464,80.08369161586006,79.35795671790723,82.02238149629747
111,111,111,111,111,111,111,111,58.95,83.56406068008316,81.2002320560382,91.44018944681451,85.26450391703865,56.12368711377098,68.47547905114399,66.85072677952695,68.90729224657156
112,112,112,112,112,112,112,112,40.22,79.37073948500897,79.85896520681268,89.09433565786078,85.25644392053277,64.40886815234055,74.78979354115495,67.82238096088874,73.06689107179167
113,113,113,113,113,113,113,113,62.41,82.64568292664191,83.16593260868477,89.28215145444364,85.2752754095964,105.83064278320823,102.19553966406826,87.35316783597219,100.5633084308136
114,114,114,114,114,114,114,114,117.49,92.33552693297976,89.27402441545297,91.99617277325544,85.30466981459843,138.14376470846355,124.47511311091446,104.85658997072362,122.02508274974751
115,115,115,115,115,115,115,115,136.88,108.371612550423,97.0919975512034,96.87585258021032,85.35648620618335,194.15942937126604,160.99097942494075,135.32105262346207,159.380499753421
116,116,116,116,116,116,116,116,198.47,123.40870555103626,103.67477249784584,102.60948976187927,85.39666700207307,194.7315848348736,172.02512953981503,148.85713888106793,170.26124176474443
