,Actual,Gru_predicted,cNN_biLSTM_1fea-Copy1_predicted,vANILLA_LSTM_predicted,cNN_1Fea_predicted,cNN_LSTM_1fea_predicted,sEQ2SEQ_predicted,biLSTM_predicted,gRU_biLSTM_1fea_predicted,sTACKED_LSTM_predicted
669,66.17,74.50108325839672,77.65348654573747,70.61825077960766,81.1259908978877,70.41012102351753,71.20686423034472,66.4138984535877,68.50428997230014,95.52889502675158
670,65.4,72.98194854379484,77.35932357365392,72.36762200547356,81.57305111391217,69.04967743525584,73.93612659825429,69.86895240696907,67.68200243174502,96.34031981907594
671,75.48,74.37328658804313,80.71615028238926,79.87398103750613,86.26857091387635,70.66045174396564,83.45408159839785,78.94544731905982,67.7563978817973,96.7019343325326
672,93.92,79.23542269545027,87.85066956730262,91.62344953121976,95.4564558714037,75.5366006715876,97.80962214492988,91.77274044275036,69.16465506267429,96.82075579778872
673,114.950005,86.176481309485,96.22827350864269,102.00696181069958,105.39608300741445,82.03143033859368,109.57789106826267,101.9764861142823,71.75833308226966,96.96819666704296
674,124.270004,93.71933492547583,103.7309949575508,110.8915335870468,113.61529582926993,88.5133472105222,118.94821769486724,110.01763861718128,75.11623481557098,97.18916421649676
675,131.57,99.97357159455596,108.97983990185908,115.06746651363908,118.1472743920613,93.6878654563493,122.60652629293482,112.72977559374893,78.57594512535735,97.56359777288856
676,128.17,106.61568587724564,115.11215503484162,126.03155456018231,125.8234248040922,99.42722160960514,134.61035059907618,123.80020357032572,82.70453322004624,98.1810243820513
677,151.88,114.26384814970382,124.35991636063754,138.45848853504074,137.48211622340784,107.27978855302943,147.84317798985836,136.33321496921903,87.62807698071421,99.13995879520098
678,168.32,121.47840051349806,132.3207607783713,145.97584781844623,146.11561351231074,114.85126157301836,154.9739034380766,143.2873113811878,92.80920162750787,100.526577981616
679,168.25,125.5690064902362,134.57542480096714,143.94215134530418,146.51017252860075,118.90410418680466,151.28523164616263,140.65512623164437,97.25225940832048,102.31563136428116
680,149.88,125.75082314503084,132.0603423274028,137.69137100520658,141.48699524115102,118.86604081699718,143.28418630977504,132.38026213807035,98.87569650639476,103.35171754046918
