,Test,BiLSTM-Tred_Pred,BiLSTM-GAB_Pred,CNN-Tred_Pred,CNN-GAB_Pred,GRU-Tred_Pred,GRU-GAB_Pred,LSTM (1)-Tred_Pred,LSTM (1)-GAB_Pred,RNN-Tred_Pred,RNN-GAB_Pred
2737,17.09,17.188091278076172,17.06480344457137,17.116043090820312,16.81511508446326,17.244033813476562,17.169916761652935,17.479835510253906,17.071473706980722,17.32128143310547,17.09516849775586
2738,17.46,17.095760345458984,17.185878995565087,16.888946533203125,17.18095782609444,17.09647560119629,17.427112511919045,17.212615966796875,17.35017235725576,16.905704498291016,17.227832418243345
2739,18.31,17.407875061035156,17.936702378562334,17.352161407470703,17.931408527933836,17.5919132232666,18.104777114842744,17.67922592163086,18.034791931647433,17.420055389404297,17.83842416712188
2740,17.76,18.300052642822266,17.47942939661164,18.224021911621094,17.367846077627952,18.34318733215332,17.787963686557706,18.491342544555664,17.75727150594003,18.30115509033203,17.762260317475356
2741,16.97,17.55115509033203,16.86459724195448,17.427349090576172,16.737683243071643,17.574798583984375,17.163009687054714,17.781429290771484,17.002392712217837,17.625059127807617,17.056830301656007
2742,15.75,16.753318786621094,15.966513667550757,16.70669937133789,15.856815196570565,16.86723518371582,16.32074516194493,17.03843879699707,16.198303724204933,16.821346282958984,16.219881332154678
2743,15.62,15.512401580810547,15.72416638667872,15.470101356506348,15.67865824100841,15.620328903198242,15.867932321900332,15.736865997314453,15.697085643831848,15.482646942138672,15.683072758308494
2744,18.43,15.722731590270996,16.58943688465407,15.637072563171387,16.700747242197675,15.85754108428955,16.73485528330229,15.902898788452148,16.627415113661506,15.740804672241211,16.502211537555787
2745,19.04,18.612192153930664,18.690309226962984,18.805898666381836,18.60557827878048,18.584800720214844,18.722549811600143,18.614866256713867,18.74327451417477,18.210609436035156,18.557057168384528
2746,20.45,18.885658264160156,19.526337947079288,18.677776336669922,19.532202508717397,18.72154998779297,19.646326416793844,18.922870635986328,19.660052921444017,18.742725372314453,19.3809254800737
2747,20.32,20.24024200439453,19.828123430298625,20.358062744140625,19.71446366566869,20.09880828857422,19.90481599138361,20.316123962402344,19.765472803086944,20.006694793701172,20.006406519108253
2748,19.96,19.905780792236328,19.62090711268399,19.815715789794922,19.40856628881442,19.961624145507812,19.76236854094112,20.14312744140625,19.536794330530885,19.893394470214844,19.776516146103667
2749,18.8,19.67224884033203,18.85859536584375,19.559993743896484,18.59572100069829,19.69634246826172,19.036877255543654,19.926462173461914,18.80065471352432,19.703662872314453,19.08667321712817
2750,18.13,18.569332122802734,17.79294400152352,18.340686798095703,17.906447767580634,18.548965454101562,18.245468517133318,18.73641586303711,18.103875816978128,18.509140014648438,18.064986617389696
2751,17.27,18.00338363647461,17.03543961535268,17.930877685546875,17.056599489595136,18.110252380371094,17.49694160939653,18.25084686279297,17.355838450553232,17.991487503051758,17.483515897688488
2752,17.27,17.23056983947754,17.16122194845968,17.009586334228516,17.192214176288665,17.250019073486328,17.40801400855788,17.374088287353516,17.32337535037441,17.159156799316406,17.24758383477193
2753,17.15,17.287769317626953,17.349068830830177,17.25079917907715,17.089399184652624,17.4500789642334,17.293720580783017,17.533523559570312,17.254631843252792,17.333572387695312,17.155767739974856
2754,16.85,17.179027557373047,17.10451114596068,17.029592514038086,16.879028038976525,17.25312042236328,17.042584295859044,17.333606719970703,16.987165242799097,17.09477996826172,16.92651101272388
2755,16.24,16.807918548583984,16.404953065511304,16.71971893310547,16.279239486524276,16.894685745239258,16.345371187702668,17.002918243408203,16.407030296404585,16.798107147216797,16.360047590561138
2756,15.010000000000002,16.17104721069336,15.528029327799587,16.071706771850586,15.404407517652494,16.2557373046875,15.588828176305976,16.33314323425293,15.572290759131326,16.148536682128906,15.572446632111747
2757,14.28,14.776042938232422,14.340455171160261,14.795944213867188,14.549669170472436,14.8378267288208,14.413431621443971,14.967591285705566,14.479784253481375,14.783239364624023,14.534711810069687
2758,14.47,14.374135971069336,14.365905852452972,14.240407943725586,14.66798591764142,14.337858200073242,14.660480871522918,14.418695449829102,14.617696749973605,14.283340454101562,14.603817605916195
2759,16.05,14.68305778503418,15.193959810167534,14.559709548950195,15.712380448063124,14.731781005859375,15.591776509255205,14.78970718383789,15.587788766857228,14.664506912231445,15.478581974822605
2760,17.27,16.418380737304688,16.933709857243546,16.24748992919922,17.000592561561927,16.38176727294922,17.082900041129303,16.43701934814453,17.199496283658036,16.21216583251953,16.905802614021013
2761,17.52,17.295570373535156,17.21987143263822,17.19723129272461,17.12861657668927,17.233171463012695,17.320061600323044,17.408069610595703,17.362030686867207,17.097583770751953,17.295446147656534
2762,17.76,17.39236831665039,17.59704164808013,17.25524139404297,17.366112922688018,17.395687103271484,17.57657103310696,17.550317764282227,17.556153123959103,17.358049392700195,17.537233554596412
2763,17.94,17.637195587158203,17.80066190378662,17.532581329345703,17.493073976164634,17.669897079467773,17.76829852239533,17.839977264404297,17.698080095342902,17.554550170898438,17.746641016975868
2764,17.09,17.79159927368164,17.14199944475417,17.68323516845703,16.75375012576391,17.857391357421875,17.194213158874437,18.024290084838867,17.078695389533095,17.754419326782227,17.18506837561149
2765,16.17,16.773523330688477,15.89706844421732,16.695018768310547,15.984582655439702,16.876873016357422,16.334917874880038,17.071903228759766,16.197382004938518,16.912452697753906,16.373653425910103
2766,14.59,15.999027252197266,14.894278956527332,15.931472778320312,15.049017697628786,16.0643310546875,15.495294996969957,16.222442626953125,15.358928447666525,16.026832580566406,15.409778591027159
2767,13.18,14.281547546386719,13.242535297821481,14.304647445678711,13.510978539667933,14.279194831848145,13.664501759405923,14.524066925048828,13.57576823841729,14.240159034729004,13.672730373108394
