iter	Passed	Remaining
331	1973	3971
332	1979	3964
333	1985	3959
334	1991	3953
335	1997	3946
336	2003	3940
337	2008	3934
338	2014	3927
339	2020	3921
340	2025	3914
341	2032	3909
342	2038	3904
343	2045	3899
344	2050	3893
345	2056	3887
346	2062	3881
347	2068	3875
348	2074	3869
349	2079	3861
350	2084	3854
351	2090	3848
352	2095	3841
353	2102	3835
354	2108	3830
355	2114	3824
356	2120	3819
357	2126	3813
358	2131	3806
359	2137	3800
360	2143	3794
361	2149	3787
362	2154	3780
363	2160	3775
364	2167	3770
365	2173	3764
366	2179	3759
367	2185	3752
368	2190	3746
369	2197	3741
370	2204	3738
371	2211	3733
372	2217	3726
373	2222	3720
374	2229	3715
375	2234	3709
376	2241	3703
377	2247	3698
378	2253	3691
379	2259	3685
380	2264	3679
381	2270	3673
382	2275	3666
383	2281	3659
384	2286	3651
385	2292	3645
386	2298	3640
387	2303	3633
388	2310	3628
389	2315	3622
390	2321	3616
391	2327	3609
392	2335	3606
393	2342	3602
394	2349	3597
395	2355	3592
396	2361	3586
397	2367	3580
398	2372	3574
399	2378	3567
400	2384	3561
401	2389	3554
402	2394	3547
403	2400	3541
404	2405	3534
405	2411	3528
406	2417	3522
407	2423	3516
408	2429	3510
409	2435	3504
410	2441	3499
411	2447	3493
412	2453	3486
413	2458	3480
414	2464	3474
415	2470	3468
416	2476	3461
417	2482	3456
