iter	Passed	Remaining
580	5555	4006
581	5569	3999
582	5582	3993
583	5596	3986
584	5606	3977
585	5623	3973
586	5636	3965
587	5651	3960
588	5670	3956
589	5680	3947
590	5691	3939
591	5701	3929
592	5711	3919
593	5719	3909
594	5728	3899
595	5736	3888
596	5744	3877
597	5752	3866
598	5760	3856
599	5767	3845
600	5776	3834
601	5783	3823
602	5792	3813
603	5799	3802
604	5807	3791
605	5814	3780
606	5821	3769
607	5828	3757
608	5835	3746
609	5843	3735
610	5850	3724
611	5858	3714
612	5865	3703
613	5875	3693
614	5883	3683
615	5891	3672
616	5899	3662
617	5906	3651
618	5914	3640
619	5922	3630
620	5929	3619
621	5937	3608
622	5945	3597
623	5952	3586
624	5959	3575
625	5968	3565
626	5978	3556
627	5986	3546
628	5993	3535
629	6000	3524
630	6007	3513
631	6015	3502
632	6022	3491
633	6029	3480
634	6037	3470
635	6044	3459
636	6052	3449
637	6060	3438
638	6068	3428
639	6075	3417
640	6083	3407
641	6090	3396
642	6098	3385
643	6105	3375
644	6113	3364
645	6120	3353
646	6128	3343
647	6136	3333
648	6143	3322
649	6152	3312
650	6159	3302
651	6167	3292
652	6174	3281
653	6183	3271
654	6190	3260
655	6198	3250
656	6205	3239
657	6213	3229
658	6220	3218
659	6227	3208
660	6235	3198
661	6242	3187
662	6249	3176
663	6257	3166
664	6265	3156
665	6272	3145
666	6280	3135
667	6287	3124
668	6295	3114
669	6302	3104
670	6310	3094
671	6317	3083
672	6324	3072
673	6331	3062
674	6338	3051
675	6345	3041
676	6352	3030
677	6360	3020
678	6368	3010
679	6375	3000
680	6382	2989
681	6389	2979
682	6397	2969
683	6405	2959
684	6412	2948
685	6419	2938
686	6426	2928
687	6434	2917
688	6441	2907
689	6447	2896
690	6454	2886
691	6461	2876
692	6469	2866
693	6477	2855
694	6484	2845
695	6492	2835
696	6499	2825
697	6507	2815
698	6515	2805
699	6522	2795
700	6529	2785
701	6537	2775
702	6545	2765
703	6553	2755
704	6561	2745
705	6569	2735
706	6577	2725
707	6584	2715
708	6592	2705
709	6601	2696
710	6609	2686
711	6616	2676
712	6624	2666
713	6631	2656
714	6640	2646
715	6649	2637
716	6657	2627
717	6664	2617
718	6673	2608
719	6682	2598
720	6691	2589
721	6699	2579
722	6707	2569
723	6715	2559
724	6722	2549
725	6730	2540
726	6737	2530
727	6744	2520
728	6751	2509
729	6758	2499
730	6766	2489
731	6773	2479
732	6779	2469
733	6786	2459
734	6794	2449
735	6802	2439
736	6809	2429
737	6816	2420
738	6823	2410
739	6831	2400
740	6837	2389
741	6844	2379
742	6852	2370
743	6861	2360
744	6868	2351
745	6875	2341
746	6884	2331
747	6892	2322
748	6900	2312
749	6908	2302
750	6915	2292
751	6922	2282
752	6929	2273
753	6937	2263
754	6944	2253
755	6952	2243
756	6960	2234
757	6967	2224
758	6974	2214
759	6981	2204
760	6988	2194
761	6995	2185
762	7003	2175
763	7010	2165
764	7017	2155
765	7024	2145
766	7032	2136
767	7039	2126
768	7047	2116
769	7054	2107
770	7061	2097
771	7069	2087
772	7076	2078
773	7083	2068
774	7090	2058
775	7097	2048
776	7105	2039
777	7113	2029
778	7120	2020
779	7127	2010
780	7135	2000
781	7143	1991
782	7150	1981
783	7157	1971
784	7164	1962
785	7171	1952
786	7179	1943
787	7185	1933
788	7192	1923
789	7200	1914
790	7208	1904
791	7215	1894
792	7223	1885
793	7230	1875
794	7237	1866
795	7244	1856
796	7251	1847
797	7259	1837
798	7267	1828
