,PM,Date
415,93.57,2020-02-04
416,91.03,2020-02-05
417,89.82,2020-02-06
418,92.69,2020-02-07
419,101.66,2020-02-08
420,99.53,2020-02-09
421,106.77,2020-02-10
422,129.87,2020-02-11
423,107.68,2020-02-12
424,61.7,2020-02-13
425,59.14,2020-02-14
426,57.68,2020-02-15
427,91.11,2020-02-16
428,84.07,2020-02-17
429,72.16,2020-02-18
430,97.97,2020-02-19
431,93.21,2020-02-20
432,32.75,2020-02-21
433,43.16,2020-02-22
434,62.58,2020-02-23
435,67.55,2020-02-24
436,89.48,2020-02-25
437,100.33,2020-02-26
438,99.72,2020-02-27
439,92.32,2020-02-28
440,61.15,2020-02-29
441,25.88,2020-03-01
442,64.75,2020-03-02
443,63.16,2020-03-03
444,70.83,2020-03-04
445,29.14,2020-03-05
446,16.22,2020-03-06
447,23.33,2020-03-07
448,46.72,2020-03-08
449,46.18,2020-03-09
450,54.85,2020-03-10
451,48.61,2020-03-11
452,41.91,2020-03-12
453,57.65,2020-03-13
454,58.22,2020-03-14
455,48.32,2020-03-15
456,57.55,2020-03-16
457,73.02,2020-03-17
458,80.25,2020-03-18
459,73.36,2020-03-19
460,73.33,2020-03-20
461,73.39,2020-03-21
462,70.42,2020-03-22
463,44.71,2020-03-23
464,52.03,2020-03-24
465,41.22,2020-03-25
466,42.21,2020-03-26
467,24.29,2020-03-27
468,16.43,2020-03-28
469,32.34,2020-03-29
470,35.67,2020-03-30
471,33,2020-03-31
472,34.99,2020-04-01
473,34.97,2020-04-02
474,30.62,2020-04-03
475,41.13,2020-04-04
476,49.48,2020-04-05
477,52.86,2020-04-06
478,37.8,2020-04-07
479,34.09,2020-04-08
480,44.21,2020-04-09
481,51.4,2020-04-10
482,48.4,2020-04-11
483,42.43,2020-04-12
484,58.44,2020-04-13
485,70.21,2020-04-14
486,122.3,2020-04-15
487,68,2020-04-16
488,45.82,2020-04-17
489,35.01,2020-04-18
490,20.06,2020-04-19
491,26.93,2020-04-20
492,29.46,2020-04-21
493,30.36,2020-04-22
494,30.46,2020-04-23
495,30.2,2020-04-24
496,30.1,2020-04-25
497,34.49,2020-04-26
498,40.13,2020-04-27
499,40.2,2020-04-28
500,38.99,2020-04-29
501,39.6,2020-04-30
502,40.62,2020-05-01
503,39.39,2020-05-02
504,40.71,2020-05-03
505,27.5,2020-05-04
506,26.46,2020-05-05
507,30.86,2020-05-06
508,29.78,2020-05-07
509,None,2020-05-08
510,None,2020-05-09
511,30.64,2020-05-10
512,31.15,2020-05-11
513,29.76,2020-05-12
514,30.04,2020-05-13
515,30.48,2020-05-14
516,29.58,2020-05-15
517,30.91,2020-05-16
518,30.31,2020-05-17
519,35.44,2020-05-18
520,30.81,2020-05-19
521,29.83,2020-05-20
522,50.34,2020-05-21
523,65.54,2020-05-22
524,61.18,2020-05-23
525,71.2,2020-05-24
526,79.15,2020-05-25
527,79.53,2020-05-26
528,57.78,2020-05-27
529,84.33,2020-05-28
530,46.94,2020-05-29
531,42.85,2020-05-30
532,16.77,2020-05-31
533,21.29,2020-06-01
534,30.53,2020-06-02
535,30.85,2020-06-03
536,29.84,2020-06-04
537,30.47,2020-06-05
538,29.96,2020-06-06
539,28.99,2020-06-07
540,30.35,2020-06-08
541,29.27,2020-06-09
542,30.33,2020-06-10
543,29.66,2020-06-11
544,49.03,2020-06-12
545,84.15,2020-06-13
546,53.85,2020-06-14
547,73.59,2020-06-15
548,60.34,2020-06-16
549,52.47,2020-06-17
550,51.05,2020-06-18
551,81.72,2020-06-19
552,47.34,2020-06-20
553,42.79,2020-06-21
554,39.25,2020-06-22
555,36.47,2020-06-23
556,33.21,2020-06-24
557,32.16,2020-06-25
558,37.19,2020-06-26
559,49.27,2020-06-27
560,84.99,2020-06-28
561,73.27,2020-06-29
562,49.98,2020-06-30
563,55.14,2020-07-01
564,69.82,2020-07-02
565,74.57,2020-07-03
566,59.92,2020-07-04
567,40.39,2020-07-05
568,51.91,2020-07-06
569,26.38,2020-07-07
570,26.58,2020-07-08
571,23.5,2020-07-09
572,38.6,2020-07-10
573,22.63,2020-07-11
574,18.98,2020-07-12
575,35.38,2020-07-13
576,48.81,2020-07-14
577,47.23,2020-07-15
578,36.55,2020-07-16
579,51.8,2020-07-17
580,36.93,2020-07-18
581,23.61,2020-07-19
582,16.63,2020-07-20
583,24.07,2020-07-21
584,24.76,2020-07-22
585,32.97,2020-07-23
586,50.81,2020-07-24
587,39.61,2020-07-25
588,38.79,2020-07-26
589,37.09,2020-07-27
590,26.89,2020-07-28
591,24.71,2020-07-29
592,23.97,2020-07-30
593,34.34,2020-07-31
594,24.85,2020-08-01
595,26.91,2020-08-02
596,33.09,2020-08-03
597,23.31,2020-08-04
598,34.61,2020-08-05
599,18.93,2020-08-06
600,18.46,2020-08-07
601,39.99,2020-08-08
602,27.83,2020-08-09
603,41.49,2020-08-10
604,31.71,2020-08-11
605,24.5,2020-08-12
606,18.46,2020-08-13
607,17.67,2020-08-14
608,32.56,2020-08-15
609,31.29,2020-08-16
610,29.27,2020-08-17
611,33.96,2020-08-18
612,17.07,2020-08-19
613,19.1,2020-08-20
614,17.25,2020-08-21
615,17.19,2020-08-22
616,22.15,2020-08-23
617,16.29,2020-08-24
618,25.01,2020-08-25
619,12.81,2020-08-26
620,20.2,2020-08-27
621,15.07,2020-08-28
622,36.83,2020-08-29
623,27.72,2020-08-30
624,13.76,2020-08-31
625,19.35,2020-09-01
626,14.66,2020-09-02
627,35.95,2020-09-03
628,45.22,2020-09-04
629,43.1,2020-09-05
630,25.32,2020-09-06
631,35.46,2020-09-07
632,33.91,2020-09-08
633,50.89,2020-09-09
634,54.07,2020-09-10
635,55.47,2020-09-11
636,52.82,2020-09-12
637,73.01,2020-09-13
638,59.27,2020-09-14
639,70.76,2020-09-15
640,55.27,2020-09-16
641,50.61,2020-09-17
