,actual,predicted,gru_actual,gru_P_train,1d_cnn_actual,1d_cnn_P_train
91,127.25,125.72743609967259,127.25,125.72743609967259,127.25,125.72743609967259
92,137.0,141.24426800077038,137.0,141.24426800077038,137.0,141.24426800077038
93,170.5,158.47878472445134,170.5,158.47878472445134,170.5,158.47878472445134
94,185.75,168.24580325944405,185.75,168.24580325944405,185.75,168.24580325944405
95,189.25,179.82707567156103,189.25,179.82707567156103,189.25,179.82707567156103
96,218.75,165.29517182240892,218.75,165.29517182240892,218.75,165.29517182240892
97,156.75,140.61719278776928,156.75,140.61719278776928,156.75,140.61719278776928
98,137.75,119.98038143015674,137.75,119.98038143015674,137.75,119.98038143015674
99,120.5,113.57152572062694,120.5,113.57152572062694,120.5,113.57152572062694
100,123.49999,114.41314095215385,123.49999,114.41314095215385,123.49999,114.41314095215385
101,116.75,114.54857387859167,116.75,114.54857387859167,116.75,114.54857387859167
102,108.25,113.91147637957758,108.25,113.91147637957758,108.25,113.91147637957758
103,108.5,120.92008446674065,108.5,120.92008446674065,108.5,120.92008446674065
104,132.0,149.084278272513,132.0,149.084278272513,132.0,149.084278272513
105,196.0,211.11431945119546,196.0,211.11431945119546,196.0,211.11431945119546
106,311.5,235.45466630593285,311.5,235.45466630593285,311.5,235.45466630593285
107,254.74998,204.94883800911617,254.74998,204.94883800911617,254.74998,204.94883800911617
108,187.0,149.3068816089951,187.0,149.3068816089951,187.0,149.3068816089951
109,130.5,119.16663930592368,130.5,119.16663930592368,130.5,119.16663930592368
110,142.0,128.80796105909005,142.0,128.80796105909005,142.0,128.80796105909005
111,175.67,152.2055967240478,175.67,152.2055967240478,175.67,152.2055967240478
112,180.75,165.74472197510937,180.75,165.74472197510937,180.75,165.74472197510937
113,173.0,166.31016673239358,173.0,166.31016673239358,173.0,166.31016673239358
114,169.5,161.45979117180406,169.5,161.45979117180406,169.5,161.45979117180406
115,170.25,157.24139191283692,170.25,157.24139191283692,170.25,157.24139191283692
116,171.0,153.38056668837183,171.0,153.38056668837183,171.0,153.38056668837183
117,165.25,164.92723800177922,165.25,164.92723800177922,165.25,164.92723800177922
118,204.5,183.51156442308573,204.5,183.51156442308573,204.5,183.51156442308573
119,222.75,195.62759842989078,222.75,195.62759842989078,222.75,195.62759842989078
120,224.75,167.60195575813714,224.75,167.60195575813714,224.75,167.60195575813714
121,136.0,136.1896168273155,136.0,136.1896168273155,136.0,136.1896168273155
122,132.75,112.86656868769317,132.75,112.86656868769317,132.75,112.86656868769317
123,107.5,107.34403963792107,107.5,107.34403963792107,107.5,107.34403963792107
124,113.75,110.67303071434468,113.75,110.67303071434468,113.75,110.67303071434468
125,110.0,115.84068573053183,110.0,115.84068573053183,110.0,115.84068573053183
126,112.0,119.95191402918276,112.0,119.95191402918276,112.0,119.95191402918276
127,116.75,126.41069774480222,116.75,126.41069774480222,116.75,126.41069774480222
128,133.25,156.41322532718252,133.25,156.41322532718252,133.25,156.41322532718252
129,210.75,192.12810376294286,210.75,192.12810376294286,210.75,192.12810376294286
130,243.5,185.51721021304695,243.5,185.51721021304695,243.5,185.51721021304695
131,171.25,141.08069783651422,171.25,141.08069783651422,171.25,141.08069783651422
132,106.5,100.61287865586911,106.5,100.61287865586911,106.5,100.61287865586911
133,91.75,92.20453286499078,91.75,92.20453286499078,91.75,92.20453286499078
134,114.0,119.89716564102093,114.0,119.89716564102093,114.0,119.89716564102093
135,166.33,150.69504892834541,166.33,150.69504892834541,166.33,150.69504892834541
136,173.25,168.97946981299927,173.25,168.97946981299927,173.25,168.97946981299927
137,183.25,166.02119326467164,183.25,166.02119326467164,183.25,166.02119326467164
138,165.75,148.32776442858847,165.75,148.32776442858847,165.75,148.32776442858847
139,144.5,141.3698473912525,144.5,141.3698473912525,144.5,141.3698473912525
140,165.5,142.9756435888735,165.5,142.9756435888735,165.5,142.9756435888735
141,164.5,145.45783954070637,164.5,145.45783954070637,164.5,145.45783954070637
142,159.5,166.23795638177867,159.5,166.23795638177867,159.5,166.23795638177867
143,215.75,200.9588676320882,215.75,200.9588676320882,215.75,200.9588676320882
144,263.0,200.18863367480765,263.0,200.18863367480765,263.0,200.18863367480765
145,196.5,170.72679594999863,196.5,170.72679594999863,196.5,170.72679594999863
146,158.75,144.91227794234985,158.75,144.91227794234985,158.75,144.91227794234985
147,155.0,129.53599282812257,155.0,129.53599282812257,155.0,129.53599282812257
148,137.25,118.03667424819098,137.25,118.03667424819098,137.25,118.03667424819098
149,112.0,115.95120968111742,112.0,115.95120968111742,112.0,115.95120968111742
150,118.25,122.7629084622651,118.25,122.7629084622651,118.25,122.7629084622651
151,129.75,133.29175279950843,129.75,133.29175279950843,129.75,133.29175279950843
152,141.5,140.59469767143264,141.5,140.59469767143264,141.5,140.59469767143264
153,145.75,134.93631748855893,145.75,134.93631748855893,145.75,134.93631748855893
154,125.25001,144.80247301374763,125.25001,144.80247301374763,125.25001,144.80247301374763
155,180.0,140.25998560121795,180.0,140.25998560121795,180.0,140.25998560121795
156,132.25,142.50130918862405,132.25,142.50130918862405,132.25,142.50130918862405
157,166.5,135.85847051918157,166.5,135.85847051918157,166.5,135.85847051918157
158,133.5,132.61078028559112,133.5,132.61078028559112,133.5,132.61078028559112
159,145.5,140.04300237534048,145.5,140.04300237534048,145.5,140.04300237534048
160,166.0,145.7717880169117,166.0,145.7717880169117,166.0,145.7717880169117
161,158.5,145.88609783834846,158.5,145.88609783834846,158.5,145.88609783834846
162,154.0,144.25730761117785,154.0,144.25730761117785,154.0,144.25730761117785
163,155.75,145.95692884066875,155.75,145.95692884066875,155.75,145.95692884066875
164,164.25,149.67531434283777,164.25,149.67531434283777,164.25,149.67531434283777
165,168.0,151.86475095609748,168.0,151.86475095609748,168.0,151.86475095609748
166,166.75,169.28932426607483,166.75,169.28932426607483,166.75,169.28932426607483
167,216.25,177.1645812889203,216.25,177.1645812889203,216.25,177.1645812889203
168,194.5,153.43525638086155,194.5,153.43525638086155,194.5,153.43525638086155
169,128.5,119.91684336509626,128.5,119.91684336509626,128.5,119.91684336509626
